"","process","genes","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue","set_size"
"214","MYELOID DENDRITIC CELL ANTIGEN PROCESSING AND PRESENTATION","HLA-DRB3","GO:0002469","Innate","APC","APP, Dendritic cell, Myeloid","Dendritic cell",1
"215","MYELOID DENDRITIC CELL CHEMOTAXIS","CCR7,ARHGEF5","GO:0002408","Innate","APC","Chemotaxis, Dendritic cell, Myeloid","Dendritic cell",2
"216","MYELOID DENDRITIC CELL DIFFERENTIATION","SPI1,BATF2,TGFBR2,NOTCH2,LTBR,PSEN1,RELB,RBPJ","GO:0043011","Innate","APC","Differentiation, Myeloid Dendritic cell","Dendritic cell",8
"217","MYELOID LEUKOCYTE MIGRATION","CSF1,PAFAH1B1,PIK3R1,NF1","GO:0097529","General","Cells","Migration, Myeloid leukocyte","Leukocyte",4
"218","NATURAL KILLER CELL ACTIVATION","IL12B,PRDX1,GATA3,KLRK1,BAG6,FCGR3A,IL2,RASGRP1","GO:0030101","Innate","Cells","Activation, NK cell","NK cell",8
"219","NATURAL KILLER CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE","IFNA8,IFNE,IL12B","GO:0002323","Innate","Cells","Activation, Immune response, NK cell","NK cell",3
"220","NATURAL KILLER CELL CHEMOTAXIS","PIK3CG","GO:0035747","Innate","Cells","Chemotaxis, NK cell","NK cell",1
"221","NATURAL KILLER CELL DEGRANULATION","FCGR3A,UNC13D,KLRF2,RAB27A,VAMP7,CORO1A","GO:0043320","Innate","Cells","Degranulation, NK cell","NK cell",6
"222","NATURAL KILLER CELL DIFFERENTIATION","KAT7,SP3,PBX1,PTPRC,MERTK,AXL,STAT5B,TYRO3,IL15","GO:0001779","Innate","Cells","Differentiation, NK cell","NK cell",9
"223","NATURAL KILLER CELL MEDIATED CYTOTOXICITY","FCGR3A,PTPN6,GZMB,RAET1G,LAG3,TUBB4B,PLEKHM2,CEBPG,RNF19B,KIF5B,KLRK1,STAT5B,KIR3DL1,PRDX1,CLEC2A","GO:0042267","Innate","Cells","Cytotoxicity, NK cell","NK cell",15
"224","NATURAL KILLER CELL MEDIATED IMMUNITY","KLRC2","GO:0002228","Innate","Cells","Immunity, NK cell","NK cell",1
"225","NATURAL KILLER CELL PROLIFERATION","IL15,EMP2,STAT5B","GO:0001787","Innate","Cells","Proliferation, NK cell","NK cell",3
"226","NATURAL KILLER CELL TOLERANCE INDUCTION","LGALS9,HLA-E","GO:0002519","Innate","Cells","Tolerance, NK cell","NK cell",2
"227","NEGATIVE T CELL SELECTION","THEMIS","GO:0043383","Adaptive","Cellular","Selection-, T cell, Memory","T cell",1
"228","NEGATIVE THYMIC T CELL SELECTION","ZAP70,GLI3,CD28,CCR7,SPN,PTPRC","GO:0045060","Adaptive","Cellular","Selection-, T cell, Thymic","T cell",6
"229","NEUTROPHIL","CXCL9,JAML,CCL24,CCL18,SRP54,C5AR1,PIK3CG,SAA1,CCL8,CCL1,CCL3L1,CX3CL1,ITGA1,TGFB2,CXCR2,LBP,FCER1G,CCL3,EDN3,NCKAP1L,PPIB,XCL1,CXCR1,CXCL8,DPEP1,SYK,CD300H,PDE4B,CXCL6,VAV1,LGALS3,CXCL3,BSG,S100A12,CXCL5,PF4V1,EDN2,CCL4L1,CCL4,CCL7,CXADR,CCL23,CCL20,PPIA,CCL2,CXCL1,CCL5,CXCL2,F2RL1,IL15,KMT2E,IL18RAP,FCAR,CTSG,PRKCD,CAMP,ADAM17,ACE,IL6R,JAGN1,LILRA2,DNASE1,SCNN1B,PECAM1,CD177,PRTN3,MTHFD1,BTK,CSF1,MPL,EMP2,GP2,MCOLN2,HMGB1,CCR2,MERTK,AXL,STXBP3,VAMP7,BCR,ANXA3,AZU1,F2,ELANE,NLRP6,CXCL9,JAML,CCL24,CCL18,SRP54,C5AR1,PIK3CG,SAA1,CCL8,CCL1,CCL3L1,CX3CL1,ITGA1,TGFB2,CXCR2,LBP,FCER1G,CCL3,EDN3,NCKAP1L,PPIB,XCL1,CXCR1,CXCL8,DPEP1,SYK,CD300H,PDE4B,CXCL6,VAV1,LGALS3,CXCL3,BSG,S100A12,CXCL5,PF4V1,EDN2,CCL4L1,CCL4,CCL7,CXADR,CCL23,CCL20,PPIA,CCL2,CXCL1,CCL5,CXCL2,F2RL1,IL15,KMT2E,IL18RAP,FCAR,CTSG,PRKCD,CAMP,ADAM17,ACE,IL6R,JAGN1,LILRA2,DNASE1,SCNN1B,PECAM1,CD177,PRTN3,MTHFD1,BTK,CSF1,MPL,EMP2,GP2,MCOLN2,HMGB1,CCR2,MERTK,AXL,STXBP3,VAMP7,BCR,ANXA3,AZU1,F2,ELANE,NLRP6,CXCL9,JAML,CCL24,CCL18,SRP54,C5AR1,PIK3CG,SAA1,CCL8,CCL1,CCL3L1,CX3CL1,ITGA1,TGFB2,CXCR2,LBP,FCER1G,CCL3,EDN3,NCKAP1L,PPIB,XCL1,CXCR1,CXCL8,DPEP1,SYK,CD300H,PDE4B,CXCL6,VAV1,LGALS3,CXCL3,BSG,S100A12,CXCL5,PF4V1,EDN2,CCL4L1,CCL4,CCL7,CXADR,CCL23,CCL20,PPIA,CCL2,CXCL1,CCL5,CXCL2,F2RL1,IL15,KMT2E,IL18RAP,FCAR,CTSG,PRKCD,CAMP,ADAM17,ACE,IL6R,JAGN1,LILRA2,DNASE1,SCNN1B,PECAM1,CD177,PRTN3,MTHFD1,BTK,CSF1,MPL,EMP2,GP2,MCOLN2,HMGB1,CCR2,MERTK,AXL,STXBP3,VAMP7,BCR,ANXA3,AZU1,F2,ELANE,NLRP6,CXCL9,JAML,CCL24,CCL18,SRP54,C5AR1,PIK3CG,SAA1,CCL8,CCL1,CCL3L1,CX3CL1,ITGA1,TGFB2,CXCR2,LBP,FCER1G,CCL3,EDN3,NCKAP1L,PPIB,XCL1,CXCR1,CXCL8,DPEP1,SYK,CD300H,PDE4B,CXCL6,VAV1,LGALS3,CXCL3,BSG,S100A12,CXCL5,PF4V1,EDN2,CCL4L1,CCL4,CCL7,CXADR,CCL23,CCL20,PPIA,CCL2,CXCL1,CCL5,CXCL2,F2RL1,IL15,KMT2E,IL18RAP,FCAR,CTSG,PRKCD,CAMP,ADAM17,ACE,IL6R,JAGN1,LILRA2,DNASE1,SCNN1B,PECAM1,CD177,PRTN3,MTHFD1,BTK,CSF1,MPL,EMP2,GP2,MCOLN2,HMGB1,CCR2,MERTK,AXL,STXBP3,VAMP7,BCR,ANXA3,AZU1,F2,ELANE,NLRP6","Manual","Innate","Cell","Neutrophil","Neutrophil",85
"230","NEUTROPHIL ACTIVATION","CXCL8,F2RL1,IL15,KMT2E,CCL5,CXCR2,IL18RAP,FCAR,CXCL6,CTSG,PRKCD,CAMP","GO:0042119","Innate","Cells","Activation, Neutrophil","Neutrophil",12
"231","NEUTROPHIL ACTIVATION INVOLVED IN IMMUNE RESPONSE","FCER1G,LILRA2,SYK,DNASE1,SCNN1B","GO:0002283","Innate","Cells","Activation, Immune response, Neutrophil","Neutrophil",5
"232","NEUTROPHIL CHEMOTAXIS","CXCL9,JAML,CCL24,CCL18,SRP54,C5AR1,PIK3CG,SAA1,CCL8,CCL1,CCL3L1,CX3CL1,ITGA1,TGFB2,CXCR2,LBP,FCER1G,CCL3,EDN3,NCKAP1L,PPIB,XCL1,CXCR1,CXCL8,DPEP1,SYK,CD300H,PDE4B,CXCL6,VAV1,LGALS3,CXCL3,BSG,S100A12,CXCL5,PF4V1,EDN2,CCL4L1,CCL4,CCL7,CXADR,CCL23,CCL20,PPIA,CCL2,CXCL1,CCL5,CXCL2","GO:0030593","Innate","Cells","Chemotaxis, Neutrophil","Neutrophil",48
"233","NEUTROPHIL CLEARANCE","HMGB1,CCR2,MERTK,AXL","GO:0097350","Innate","Cells","Clearance, Neutrophil","Neutrophil",4
"234","NEUTROPHIL DEGRANULATION","STXBP3,VAMP7,BCR,ANXA3","GO:0043312","Innate","Cells","Degranulation, Neutrophil","Neutrophil",4
"235","NEUTROPHIL EXTRAVASATION","PECAM1,PIK3CG,JAML,CD177,PRTN3","GO:0072672","Innate","Cells","Extravasation, Neutrophil","Neutrophil",5
"236","NEUTROPHIL HOMEOSTASIS","PDE4B,MTHFD1,BTK,CSF1,MPL","GO:0001780","Innate","Cells","Homeostasis, Neutrophil","Neutrophil",5
"237","NEUTROPHIL MEDIATED IMMUNITY","ADAM17,ACE,IL6R,KMT2E,JAGN1,FCAR","GO:0002446","Innate","Cells","Immunity, Neutrophil","Neutrophil",6
"238","NEUTROPHIL MIGRATION","EMP2,GP2,JAGN1,CD177,MCOLN2","GO:1990266","Innate","Cells","Migration, Neutrophil","Neutrophil",5
"239","NEUTROPHIL-MEDIATED KILLING OF BACTERIUM","SCNN1B,AZU1","GO:0070944","Innate","Cells","Killing of bacterium, Neutrophil","Neutrophil",2
"240","NEUTROPHIL-MEDIATED KILLING OF FUNGUS","ELANE","GO:0070947","Innate","Cells","Killing of fungus, Neutrophil","Neutrophil",1
"241","NEUTROPHIL-MEDIATED KILLING OF GRAM-NEGATIVE BACTERIUM","F2,ELANE","GO:0070945","Innate","Cells","killing of Gram- bacterium, Neutrophil","Neutrophil",2
"242","NEUTROPHIL-MEDIATED KILLING OF GRAM-POSITIVE BACTERIUM","NLRP6,CTSG","GO:0070946","Innate","Cells","killing of Gram+ bacterium, Neutrophil","Neutrophil",2
"243","NK CELL","FCGR3A,PTPN6,GZMB,RAET1G,LAG3,TUBB4B,PLEKHM2,CEBPG,RNF19B,KIF5B,KLRK1,STAT5B,KIR3DL1,PRDX1,CLEC2A,KAT7,SP3,PBX1,PTPRC,MERTK,AXL,TYRO3,IL15,IL12B,GATA3,BAG6,IL2,RASGRP1,UNC13D,KLRF2,RAB27A,VAMP7,CORO1A,IFNA8,IFNE,EMP2,LGALS9,HLA-E,XCL1,PIK3CG,KLRC2,FCGR3A,PTPN6,GZMB,RAET1G,LAG3,TUBB4B,PLEKHM2,CEBPG,RNF19B,KIF5B,KLRK1,STAT5B,KIR3DL1,PRDX1,CLEC2A,KAT7,SP3,PBX1,PTPRC,MERTK,AXL,TYRO3,IL15,IL12B,GATA3,BAG6,IL2,RASGRP1,UNC13D,KLRF2,RAB27A,VAMP7,CORO1A,IFNA8,IFNE,EMP2,LGALS9,HLA-E,XCL1,PIK3CG,KLRC2,FCGR3A,PTPN6,GZMB,RAET1G,LAG3,TUBB4B,PLEKHM2,CEBPG,RNF19B,KIF5B,KLRK1,STAT5B,KIR3DL1,PRDX1,CLEC2A,KAT7,SP3,PBX1,PTPRC,MERTK,AXL,TYRO3,IL15,IL12B,GATA3,BAG6,IL2,RASGRP1,UNC13D,KLRF2,RAB27A,VAMP7,CORO1A,IFNA8,IFNE,EMP2,LGALS9,HLA-E,XCL1,PIK3CG,KLRC2,FCGR3A,PTPN6,GZMB,RAET1G,LAG3,TUBB4B,PLEKHM2,CEBPG,RNF19B,KIF5B,KLRK1,STAT5B,KIR3DL1,PRDX1,CLEC2A,KAT7,SP3,PBX1,PTPRC,MERTK,AXL,TYRO3,IL15,IL12B,GATA3,BAG6,IL2,RASGRP1,UNC13D,KLRF2,RAB27A,VAMP7,CORO1A,IFNA8,IFNE,EMP2,LGALS9,HLA-E,XCL1,PIK3CG,KLRC2","Manual","Innate","Cell","NK cell","NK cell",41
"244","NK T CELL DIFFERENTIATION","ATF2,ITK,FOSL2","GO:0001865","Innate","Cellular","Differentiation, NK T cell","NK T cell",3
"245","NK T CELL LINEAGE COMMITMENT","TOX","GO:0002364","Innate","Cellular","Lineage commitment, NK T cell","NK T cell",1
"246","NK T CELL PROLIFERATION","IL15","GO:0001866","Innate","Cellular","Proliferation, NK T cell","NK T cell",1
"247","NLRP3 INFLAMMASOME COMPLEX ASSEMBLY","SIRT2","GO:0044546","Innate","Inflammation","NLRP3, Inflammasome complex","Undefined",1
"248","NLRP6 INFLAMMASOME COMPLEX ASSEMBLY","NLRP6","GO:0140739","Innate","Inflammation","NLRP6, Inflammasome complex","Undefined",1
"249","NUCLEOTIDE-BINDING OLIGOMERIZATION DOMAIN CONTAINING 1 SIGNALING PATHWAY","NFKBIA,TLR4,XIAP","GO:0070427","Innate","PRR","PRR, NOD1","All",3
"250","NUCLEOTIDE-BINDING OLIGOMERIZATION DOMAIN CONTAINING 2 SIGNALING PATHWAY","TLR4,LACC1,IRGM,XIAP,NFKBIA,RELA","GO:0070431","Innate","PRR","PRR, NOD2","All",6
"251","NUCLEOTIDE-BINDING OLIGOMERIZATION DOMAIN CONTAINING SIGNALING PATHWAY","MAP2K6,TNFAIP3","GO:0070423","Innate","PRR","PRR, NOD","All",2
"252","OPSONIZATION","PTX3,SFTPA1,LBP,C4B,MBL2","GO:0008228","Adaptive","Humoral","Opsonization","B cell",5
"253","PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY","CASP1,LACC1,CGAS,STING1","GO:0002221","Innate","PRR","Signaling, PRR","All",4
"254","PEPTIDE ANTIGEN ASSEMBLY WITH MHC CLASS I PROTEIN COMPLEX","CALR,PDIA3","GO:0002502","Innate","APP","MHCII, Peptide complex","APC",2
"255","PEPTIDE ANTIGEN ASSEMBLY WITH MHC CLASS II PROTEIN COMPLEX","HLA-DRB3,HLA-DMB,HLA-DMA,B2M,HLA-DRB4,HLA-DPA1,HLA-DOB","GO:0002503","Innate","APP","MHCII, Peptide complex","APC",7
"256","PEPTIDE ANTIGEN TRANSPORT","TAP2","GO:0046968","Innate","APP","Transport, Peptide antigen","All",1
"257","PERIPHERAL B CELL TOLERANCE INDUCTION","HLA-G","GO:0002451","Adaptive","Humoral","Tolerance, B cell, Peripheral","B cell",1
"258","PLASMA CELL DIFFERENTIATION","BCL6,LGALS1","GO:0002317","Adaptive","Humoral","Differentiation, Plasma cell","Plasma cell",2
"259","PLASMACYTOID DENDRITIC CELL ACTIVATION","LAG3","GO:0002270","Innate","APC","Activation, Dendritic cell, Plasmacytoid","Dendritic cell",1
"260","PLASMACYTOID DENDRITIC CELL DIFFERENTIATION","ZBTB46,IRF8","GO:0002273","Innate","APC","Differentiation, Dendritic cell, Plasmacytoid","Dendritic cell",2
"261","POSITIVE REGULATION OF GLYCOPROTEIN BIOSYNTHETIC PROCESS INVOLVED IN IMMUNOLOGICAL SYNAPSE FORMATION","CCR7","GO:2000526","Adaptive","Cellular","Regulation+, glyProtein, Immunological synapse","T cell",1
"262","POSITIVE T CELL SELECTION","THEMIS,BRAF","GO:0043368","Adaptive","Cellular","Selection+, T cell","T cell",2
"263","POSITIVE THYMIC T CELL SELECTION","SRF,ZAP70,ITPKB,PTPRC,CD3G","GO:0045059","Adaptive","Cellular","Selection+, Thymic, T cell","T cell",5
"264","PRE-B CELL ALLELIC EXCLUSION","RAG1,RAG2","GO:0002331","Adaptive","Humoral","Allelic exclusion, pre-B cell","B cell",2
"265","PRE-B CELL DIFFERENTIATION","LRRC8A","GO:0002329","Adaptive","Humoral","Differentiation, pre-B cell","B cell",1
"266","PRO-T CELL DIFFERENTIATION","GATA3,SPI1","GO:0002572","Adaptive","Humoral","Differentiation, pro-T cell","B cell",2
"267","REGULATORY T CELL DIFFERENTIATION","CD28","GO:0045066","Adaptive","Cellular","Differentiation, Treg cell","T cell",1
"268","RESPIRATORY BURST AFTER PHAGOCYTOSIS","HCK","GO:0045728","Innate","APC","Respiratory burst, Phagocytosis","APC",1
"269","RESPIRATORY BURST INVOLVED IN DEFENSE RESPONSE","PIK3CG","GO:0002679","Innate","Undefined","Respiratory burst, Defense","Undefined",1
"270","RESPIRATORY BURST INVOLVED IN INFLAMMATORY RESPONSE","PRDX2,LIPA","GO:0002536","Innate","Inflammation","Respiratory burst, Inflammation","Undefined",2
"271","RESPONSE TO TYPE I INTERFERON","SP100,SHMT2,CH25H,SMPD1,MX1","GO:0034340","Innate","Innate","Response to Interferon I","Interferon 1",5
"272","RESPONSE TO TYPE II INTERFERON","GCH1,SLC30A8,CD40,IFITM2,C9JQL5,IFITM1,BST2,IFITM3,TRIM21,SLC11A1,IL23R,CIITA,SP100,SNCA,STAT1,ADAMTS13","GO:0034341","Innate","Innate","Response to Interferon II","Interferon 2",16
"273","RESPONSE TO TYPE III INTERFERON","IFNLR1","GO:0034342","Innate","Innate","Response to Interferon III","Interferon 3",1
"274","RIG-I SIGNALING PATHWAY","RNF135,PHB1,RIGI,LSM14A","GO:0039529","Innate","PRR","PRR, RIG-I, Pathway","All",4
"275","SEROTONIN SECRETION BY MAST CELL","SLC18A2","GO:0002552","Innate","Innate","Secretion, Serotonin, Mast cell","Mast cell",1
"276","SOMATIC DIVERSIFICATION OF IMMUNE RECEPTORS VIA SOMATIC MUTATION","ADAR","GO:0002566","Adaptive","General","Somatic mutation, Immune receptors","Lymphocyte",1
"277","SOMATIC DIVERSIFICATION OF IMMUNOGLOBULINS INVOLVED IN IMMUNE RESPONSE","SHLD3,SHLD1,SHLD2","GO:0002208","Adaptive","Humoral","Somatic mutation, Ig","B cell",3
"278","SOMATIC HYPERMUTATION OF IMMUNOGLOBULIN GENES","UNG,MLH1,MSH2,MSH6,PMS2","GO:0016446","Adaptive","Humoral","Somatic mutation, Ig genes","B cell",5
"279","SOMATIC RECOMBINATION OF IMMUNOGLOBULIN GENE SEGMENTS","MSH2,MSH6,MLH1,UNG,PMS2,MSH3","GO:0016447","Adaptive","Humoral","Somatic mutation, Ig gene segments","B cell",6
"280","SOMATIC RECOMBINATION OF IMMUNOGLOBULIN GENES INVOLVED IN IMMUNE RESPONSE","MLH1,MSH2","GO:0002204","Adaptive","Humoral","Somatic mutation, Ig genes involved in immune response","B cell",2
"281","SPLEEN DEVELOPMENT","HOXB4,NKX2-5,BCL3,LIPA,EPB42,ADAM17,CDKN2B,PBX1,NKX3-2,RC3H1,NFKB2,NKX2-3,CDH17,ABL1,CACNB4,BCL2,KMT2A","GO:0048536","Adaptive","Humoral","Development, Spleen","Spleen",17
"282","STIMULATORY C-TYPE LECTIN RECEPTOR SIGNALING PATHWAY","SYK,PLCG2,KLRC1,EP300,CLEC6A,KLRC2,KLRC3,SRC,KLRK1","GO:0002223","Innate","PRR","C-type lectin receptor, PRR","All",9
"283","STIMULATORY KILLER CELL IMMUNOGLOBULIN-LIKE RECEPTOR SIGNALING PATHWAY","KIR2DS2","GO:0002222","Undefined","Undefined","Ig-like receptor, Pathway, Killer cell","Undefined",1
"284","T CELL ACTIVATION","CD86,PRKCQ,WAS,CHRNA7,CD28,CORO1A,HSPD1,RBX1,NCK1,SMAD3,PPP3CA,LAG3,NLRC3,PPP3CB,FKBP1A,MFAP3,PIK3CG,DPP4,TNFAIP8L2,CD7,CD276,VAV1,PTPRC,CD44,ITK,RASGRP1,CD80,DCAF12,CD3G,CD8B,ADA,ZAP70,DDOST","GO:0042110","Adaptive","Cellular","Activation, T cell","T cell",33
"285","T CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE","IFNE,MDK,F2RL1,LCP1,PSEN1,IFNA8,CD1C","GO:0002286","Adaptive","Cellular","Activation, Immune response, T cell","T cell",9
"286","T CELL ACTIVATION VIA T CELL RECEPTOR CONTACT WITH ANTIGEN BOUND TO MHC MOLECULE ON ANTIGEN PRESENTING CELL","APBB1IP,ITGAL","GO:0002291","Adaptive","Cellular",NA,"T cell",2
"287","T CELL CHEMOTAXIS","CXCL12,CCL3,DEFA4,GPR183,SLC12A2,PIK3CG,DEFA1","GO:0010818","Adaptive","Cellular","Chemotaxis, T cell","T cell",7
"288","T CELL COSTIMULATION","CD86,PTPN6,CAV1,SRC,PTPN11,DPP4,SPN,LGALS1,MAP3K8,KLRK1,CD160,CD24,AKT1,CD28,CD80,PIK3CA,EFNB1,EFNB2,VAV1,CSK,MTOR,CD40LG","GO:0031295","Adaptive","Cellular","Costimulation, T cell","T cell",22
"289","T CELL DIFFERENTIATION","KDELR1,DTX1,GATA3,ITPKB,KIT,CTNNB1,IL2,FOSL2,PTPRC,ZAP70,VAV1,PPP3CB,SOX4,PTPN2,LIPA,LMBR1L,LFNG,LEPR,BCL2,GPR89A,LEP,EGR1,PKNOX1,IL7R,PIK3R1,NRARP,SP3,RAG2,GPR89B","GO:0030217","Adaptive","Cellular","Differentiation, T cell","T cell",29
"290","T CELL DIFFERENTIATION IN THYMUS","RAG2,NKAP,STAT5B,IL2RG,IL7R,CTNNB1,RAG1,GLI3,ZFP36L2,NCAPH2,ZFP36L1,BCL2,ADAM17,PRKDC,GATA3,WNT4,RPS6,LIG4,CDK6,BRAF,B2M,JMJD6,PSMB11,TESPA1","GO:0033077","Adaptive","Cellular","Differentiation, T cell, Thymus","T cell",24
"291","T CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE","FCER1G","GO:0002292","Adaptive","Cellular","Differentiation, T cell, Immune response","T cell",1
"292","T CELL EXTRAVASATION","XG,CD99","GO:0072683","Adaptive","Cellular","Extravasation, T cell","T cell",2
"293","T CELL HOMEOSTASIS","PPP2CA,CHST3,BCL2,SPNS2,JAK3,STAT5B,ZC3H8,NCKAP1L,PPP2R1A,RC3H1,IL7R,CORO1A,RAG1,PPP3CB,IL20RB,GPR15LG,CASP3,CCNB2,PRDX2","GO:0043029","Adaptive","Cellular","Homeostasis, T cell","T cell",19
"294","T CELL HOMEOSTATIC PROLIFERATION","BAX","GO:0001777","Adaptive","Cellular","Homeostasis, Proliferation, T cell","T cell",1
"295","T CELL LINEAGE COMMITMENT","IL7,BCL2,RAG2,PRKDC","GO:0002360","Adaptive","Cellular","Lineage commitment, T cell","T cell",4
"296","T CELL MEANDERING MIGRATION","MYO1G","GO:0120117","Adaptive","Cellular","Migration, Meandering, T cell","T cell",1
"297","T CELL MEDIATED CYTOTOXICITY","GZMM,CTSH,TAP2,PPP3CB,PRF1,EMP2,CTSC,HPRT1,IL7R,B2M","GO:0001913","Adaptive","Cellular","T cell-mediated cytotoxicity","T cell",10
"298","T CELL MEDIATED IMMUNITY","CD46,CLEC4G,JAG1,MYO1G,CR2,BTN3A2,CD70,GNL1,CR1","GO:0002456","Adaptive","Cellular","T cell-mediated immunity","T cell",9
"299","T CELL MIGRATION","GPR15,MYO1G,CORO1A,FUT7,ZAP70,S1PR1,MSN,CCL20,ITGB7","GO:0072678","Adaptive","Cellular","Migration, T cell","T cell",9
"300","T CELL PROLIFERATION","PIK3CG,CD28,PSMB10,EFNB1,IL12B,CORO1A,PTPRC,FKBP1B,LIPA,PTPN6,KITLG,PPP3CB,LMBR1L,RASGRP1,IL20RB,MSN,CTPS1,TNFRSF4,IL2,IDO1,RC3H1,CD151,SCGB1A1,SPN,CCND3,PRDX2","GO:0042098","Adaptive","Cellular","Proliferation, T cell","T cell",26
"301","T CELL PROLIFERATION INVOLVED IN IMMUNE RESPONSE","LILRB1,SLC11A1,RPS6","GO:0002309","Adaptive","Cellular","Proliferation, Immune response, T cell","T cell",3
"302","T CELL RECEPTOR SIGNALING PATHWAY","GATA3,SKAP1,THEMIS2,THEMIS,CD3G,KHDRBS1,PTPRC,CACNB3,ZAP70,BTK,PDE4B,PDE4D,RC3H1,CD247,ITK,UBE2N,ABL1,NFKBID,BRAF,CRKL,PLCG2,DENND1B,MAPK1,TXK,VTCN1,PSEN1,FYB2,CTLA4,BTNL8,CD8B,BTN3A2,BCL10,CSK,CD28,BTNL10P,TEC,ZNF683,CD276,PLCG1,EIF2B2,FOSL2,PTPN6,BCAR1,BTNL9,BTNL3,BTN2A1,HLA-DRB3,PTPRJ,PIK3CA","GO:0050852","Adaptive","Cellular","Signaling, T cell","T cell",52
"303","T CELL RECEPTOR V(D)J RECOMBINATION","LIG4,PRKDC","GO:0033153","Adaptive","Cellular","V(D)J, T cell, Receptor","T cell",2
"304","T CELL SELECTION","CD1D","GO:0045058","Adaptive","Cellular","Selection, T cell","T cell",1
"305","T CELLS","RHOA,BRAF,CDH26,CD81,TOX,TOX,EOMES,KLRC1,RAB27A,ABL1,IL15,CCL2,TNFSF4,ITGAL,DOCK8,THEMIS,CCR7,CD28,FCER1G,BAX,MYO1G,CD1D,CLEC4G,PTPRC,CD83,BRAF,PRKCQ,CD28,FUT7,IL2RG,HLA-E,WDFY4,TOX,BCL2,CRKL,CRK,THEMIS,BRAF,APBB1IP,ITGAL,XG,CD99,LIG4,PRKDC,ABL1,STAT5B,IL2,FAS,RPS6,AKT1,CD247,CD3G,ZAP70,SYK,RHOA,PSMB11,IRF1,TNFSF8,LIG4,PTPRC,RAG2,CCR7,CRTAM,MYH9,LILRB1,SLC11A1,RPS6,ZAP70,ITPKB,GATA3,SYK,STAT5B,TCF7,PTPRC,IL7,BCL2,RAG2,PRKDC,BCL6,FCER1A,IL10,IL33,SRF,ZAP70,ITPKB,PTPRC,CD3G,RPL22,BRAF,GLI3,ADA,ABL1,ZAP70,CD6,DOCK8,MSN,CD81,PRF1,EPHB1,ZAP70,GLI3,CD28,CCR7,SPN,PTPRC,ITK,CXADR,JAML,CD3G,CD247,CXCL12,CCL3,DEFA4,GPR183,SLC12A2,PIK3CG,DEFA1,IFNE,MDK,F2RL1,LCP1,PSEN1,IFNA8,CD1C,CD46,CLEC4G,JAG1,MYO1G,CR2,BTN3A2,CD70,GNL1,CR1,GPR15,MYO1G,CORO1A,FUT7,ZAP70,S1PR1,MSN,CCL20,ITGB7,GZMM,CTSH,TAP2,PPP3CB,PRF1,EMP2,CTSC,HPRT1,IL7R,B2M,PPP2CA,CHST3,BCL2,SPNS2,JAK3,STAT5B,ZC3H8,NCKAP1L,PPP2R1A,RC3H1,IL7R,CORO1A,RAG1,PPP3CB,IL20RB,GPR15LG,CASP3,CCNB2,PRDX2,CD86,PTPN6,CAV1,SRC,PTPN11,DPP4,SPN,LGALS1,MAP3K8,KLRK1,CD160,CD24,AKT1,CD28,CD80,PIK3CA,EFNB1,EFNB2,VAV1,CSK,MTOR,CD40LG,RAG2,NKAP,STAT5B,IL2RG,IL7R,CTNNB1,RAG1,GLI3,ZFP36L2,NCAPH2,ZFP36L1,BCL2,ADAM17,PRKDC,GATA3,WNT4,RPS6,LIG4,CDK6,BRAF,B2M,JMJD6,PSMB11,TESPA1,PIK3CG,CD28,PSMB10,EFNB1,IL12B,CORO1A,PTPRC,FKBP1B,LIPA,PTPN6,KITLG,PPP3CB,LMBR1L,RASGRP1,IL20RB,MSN,CTPS1,TNFRSF4,IL2,IDO1,RC3H1,CD151,SCGB1A1,SPN,CCND3,PRDX2,KDELR1,DTX1,GATA3,ITPKB,KIT,CTNNB1,IL2,FOSL2,PTPRC,ZAP70,VAV1,PPP3CB,SOX4,PTPN2,LIPA,LMBR1L,LFNG,LEPR,BCL2,GPR89A,LEP,EGR1,PKNOX1,IL7R,PIK3R1,NRARP,SP3,RAG2,GPR89B,CD86,PRKCQ,WAS,CHRNA7,CD28,CORO1A,HSPD1,RBX1,NCK1,SMAD3,PPP3CA,LAG3,NLRC3,PPP3CB,FKBP1A,MFAP3,PIK3CG,DPP4,TNFAIP8L2,CD7,CD276,VAV1,PTPRC,CD44,ITK,RASGRP1,CD80,DCAF12,CD3G,CD8B,ADA,ZAP70,DDOST,GATA3,SKAP1,THEMIS2,THEMIS,CD3G,KHDRBS1,PTPRC,CACNB3,ZAP70,BTK,PDE4B,PDE4D,RC3H1,CD247,ITK,UBE2N,ABL1,NFKBID,BRAF,CRKL,PLCG2,DENND1B,MAPK1,TXK,VTCN1,PSEN1,FYB2,CTLA4,BTNL8,CD8B,BTN3A2,BCL10,CSK,CD28,BTNL10P,TEC,ZNF683,CD276,PLCG1,EIF2B2,FOSL2,PTPN6,BCAR1,BTNL9,BTNL3,BTN2A1,HLA-DRB3,PTPRJ,PIK3CA","Manual","Adaptive","Cellular","T cells","T cell",NA
