process,immune_system,immune_subsystem,cells,set_size,genes,immune_set
"Activation, Neutrophil",Innate,Cells,Neutrophil,12,"CXCL8,F2RL1,IL15,KMT2E,CCL5,CXCR2,IL18RAP,FCAR,CXCL6,CTSG,PRKCD,CAMP",ImmuneGO by Modules
"Activation, Immune response, Neutrophil",Innate,Cells,Neutrophil,5,"FCER1G,LILRA2,SYK,DNASE1,SCNN1B",ImmuneGO by Modules
"Chemotaxis, Neutrophil",Innate,Cells,Neutrophil,48,"CXCL9,JAML,CCL24,CCL18,SRP54,C5AR1,PIK3CG,SAA1,CCL8,CCL1,CCL3L1,CX3CL1,ITGA1,TGFB2,CXCR2,LBP,FCER1G,CCL3,EDN3,NCKAP1L,PPIB,XCL1,CXCR1,CXCL8,DPEP1,SYK,CD300H,PDE4B,CXCL6,VAV1,LGALS3,CXCL3,BSG,S100A12,CXCL5,PF4V1,EDN2,CCL4L1,CCL4,CCL7,CXADR,CCL23,CCL20,PPIA,CCL2,CXCL1,CCL5,CXCL2",ImmuneGO by Modules
"Clearance, Neutrophil",Innate,Cells,Neutrophil,4,"HMGB1,CCR2,MERTK,AXL",ImmuneGO by Modules
"Degranulation, Neutrophil",Innate,Cells,Neutrophil,4,"STXBP3,VAMP7,BCR,ANXA3",ImmuneGO by Modules
"Extravasation, Neutrophil",Innate,Cells,Neutrophil,5,"PECAM1,PIK3CG,JAML,CD177,PRTN3",ImmuneGO by Modules
"Homeostasis, Neutrophil",Innate,Cells,Neutrophil,5,"PDE4B,MTHFD1,BTK,CSF1,MPL",ImmuneGO by Modules
"Immunity, Neutrophil",Innate,Cells,Neutrophil,6,"ADAM17,ACE,IL6R,KMT2E,JAGN1,FCAR",ImmuneGO by Modules
"Migration, Neutrophil",Innate,Cells,Neutrophil,5,"EMP2,GP2,JAGN1,CD177,MCOLN2",ImmuneGO by Modules
"Killing of bacterium, Neutrophil",Innate,Cells,Neutrophil,2,"SCNN1B,AZU1",ImmuneGO by Modules
"Killing of fungus, Neutrophil",Innate,Cells,Neutrophil,1,ELANE,ImmuneGO by Modules
"killing of Gram- bacterium, Neutrophil",Innate,Cells,Neutrophil,2,"F2,ELANE",ImmuneGO by Modules
"killing of Gram+ bacterium, Neutrophil",Innate,Cells,Neutrophil,2,"NLRP6,CTSG",ImmuneGO by Modules
"Differentiation, NK T cell",Innate,Cellular,NK T cell,3,"ATF2,ITK,FOSL2",ImmuneGO by Modules
"Lineage commitment, NK T cell",Innate,Cellular,NK T cell,1,TOX,ImmuneGO by Modules
"Proliferation, NK T cell",Innate,Cellular,NK T cell,1,IL15,ImmuneGO by Modules
"NLRP3, Inflammasome complex",Innate,Inflammation,Undefined,1,SIRT2,ImmuneGO by Modules
"NLRP6, Inflammasome complex",Innate,Inflammation,Undefined,1,NLRP6,ImmuneGO by Modules
"PRR, NOD1",Innate,PRR,All,3,"NFKBIA,TLR4,XIAP",ImmuneGO by Modules
"PRR, NOD2",Innate,PRR,All,6,"TLR4,LACC1,IRGM,XIAP,NFKBIA,RELA",ImmuneGO by Modules
"PRR, NOD",Innate,PRR,All,2,"MAP2K6,TNFAIP3",ImmuneGO by Modules
Opsonization,Adaptive,Humoral,B cell,5,"PTX3,SFTPA1,LBP,C4B,MBL2",ImmuneGO by Modules
"Signaling, PRR",Innate,PRR,All,4,"CASP1,LACC1,CGAS,STING1",ImmuneGO by Modules
"MHCII, Peptide complex",Innate,APP,APC,2,"CALR,PDIA3",ImmuneGO by Modules
"MHCII, Peptide complex",Innate,APP,APC,7,"HLA-DRB3,HLA-DMB,HLA-DMA,B2M,HLA-DRB4,HLA-DPA1,HLA-DOB",ImmuneGO by Modules
"Transport, Peptide antigen",Innate,APP,All,1,TAP2,ImmuneGO by Modules
"Tolerance, B cell, Peripheral",Adaptive,Humoral,B cell,1,HLA-G,ImmuneGO by Modules
"Differentiation, Plasma cell",Adaptive,Humoral,Plasma cell,2,"BCL6,LGALS1",ImmuneGO by Modules
"Activation, Dendritic cell, Plasmacytoid",Innate,APC,Dendritic cell,1,LAG3,ImmuneGO by Modules
"Differentiation, Dendritic cell, Plasmacytoid",Innate,APC,Dendritic cell,2,"ZBTB46,IRF8",ImmuneGO by Modules
"Regulation+, glyProtein, Immunological synapse",Adaptive,Cellular,T cell,1,CCR7,ImmuneGO by Modules
"Selection+, T cell",Adaptive,Cellular,T cell,2,"THEMIS,BRAF",ImmuneGO by Modules
"Selection+, Thymic, T cell",Adaptive,Cellular,T cell,5,"SRF,ZAP70,ITPKB,PTPRC,CD3G",ImmuneGO by Modules
"Allelic exclusion, pre-B cell",Adaptive,Humoral,B cell,2,"RAG1,RAG2",ImmuneGO by Modules
"Differentiation, pre-B cell",Adaptive,Humoral,B cell,1,LRRC8A,ImmuneGO by Modules
"Differentiation, pro-T cell",Adaptive,Humoral,B cell,2,"GATA3,SPI1",ImmuneGO by Modules
"Differentiation, Treg cell",Adaptive,Cellular,T cell,1,CD28,ImmuneGO by Modules
"Respiratory burst, Phagocytosis",Innate,APC,APC,1,HCK,ImmuneGO by Modules
"Respiratory burst, Defense",Innate,Undefined,Undefined,1,PIK3CG,ImmuneGO by Modules
"Respiratory burst, Inflammation",Innate,Inflammation,Undefined,2,"PRDX2,LIPA",ImmuneGO by Modules
Response to Interferon I,Innate,Innate,Interferon 1,5,"SP100,SHMT2,CH25H,SMPD1,MX1",ImmuneGO by Modules
Response to Interferon II,Innate,Innate,Interferon 2,16,"GCH1,SLC30A8,CD40,IFITM2,C9JQL5,IFITM1,BST2,IFITM3,TRIM21,SLC11A1,IL23R,CIITA,SP100,SNCA,STAT1,ADAMTS13",ImmuneGO by Modules
Response to Interferon III,Innate,Innate,Interferon 3,1,IFNLR1,ImmuneGO by Modules
"PRR, RIG-I, Pathway",Innate,PRR,All,4,"RNF135,PHB1,RIGI,LSM14A",ImmuneGO by Modules
"Secretion, Serotonin, Mast cell",Innate,Innate,Mast cell,1,SLC18A2,ImmuneGO by Modules
"Somatic mutation, Immune receptors",Adaptive,General,Lymphocyte,1,ADAR,ImmuneGO by Modules
"Somatic mutation, Ig",Adaptive,Humoral,B cell,3,"SHLD3,SHLD1,SHLD2",ImmuneGO by Modules
"Somatic mutation, Ig genes",Adaptive,Humoral,B cell,5,"UNG,MLH1,MSH2,MSH6,PMS2",ImmuneGO by Modules
"Somatic mutation, Ig gene segments",Adaptive,Humoral,B cell,6,"MSH2,MSH6,MLH1,UNG,PMS2,MSH3",ImmuneGO by Modules
"Somatic mutation, Ig genes involved in immune response",Adaptive,Humoral,B cell,2,"MLH1,MSH2",ImmuneGO by Modules
"Development, Spleen",Adaptive,Humoral,Spleen,17,"HOXB4,NKX2-5,BCL3,LIPA,EPB42,ADAM17,CDKN2B,PBX1,NKX3-2,RC3H1,NFKB2,NKX2-3,CDH17,ABL1,CACNB4,BCL2,KMT2A",ImmuneGO by Modules
"C-type lectin receptor, PRR",Innate,PRR,All,9,"SYK,PLCG2,KLRC1,EP300,CLEC6A,KLRC2,KLRC3,SRC,KLRK1",ImmuneGO by Modules
"Ig-like receptor, Pathway, Killer cell",Undefined,Undefined,Undefined,1,KIR2DS2,ImmuneGO by Modules
"Activation, T cell",Adaptive,Cellular,T cell,33,"CD86,PRKCQ,WAS,CHRNA7,CD28,CORO1A,HSPD1,RBX1,NCK1,SMAD3,PPP3CA,LAG3,NLRC3,PPP3CB,FKBP1A,MFAP3,PIK3CG,DPP4,TNFAIP8L2,CD7,CD276,VAV1,PTPRC,CD44,ITK,RASGRP1,CD80,DCAF12,CD3G,CD8B,ADA,ZAP70,DDOST",ImmuneGO by Modules
"Activation, Immune response, T cell",Adaptive,Cellular,T cell,9,"IFNE,MDK,F2RL1,LCP1,PSEN1,IFNA8,CD1C",ImmuneGO by Modules
NA,Adaptive,Cellular,T cell,2,"APBB1IP,ITGAL",ImmuneGO by Modules
"Chemotaxis, T cell",Adaptive,Cellular,T cell,7,"CXCL12,CCL3,DEFA4,GPR183,SLC12A2,PIK3CG,DEFA1",ImmuneGO by Modules
"Costimulation, T cell",Adaptive,Cellular,T cell,22,"CD86,PTPN6,CAV1,SRC,PTPN11,DPP4,SPN,LGALS1,MAP3K8,KLRK1,CD160,CD24,AKT1,CD28,CD80,PIK3CA,EFNB1,EFNB2,VAV1,CSK,MTOR,CD40LG",ImmuneGO by Modules
"Differentiation, T cell",Adaptive,Cellular,T cell,29,"KDELR1,DTX1,GATA3,ITPKB,KIT,CTNNB1,IL2,FOSL2,PTPRC,ZAP70,VAV1,PPP3CB,SOX4,PTPN2,LIPA,LMBR1L,LFNG,LEPR,BCL2,GPR89A,LEP,EGR1,PKNOX1,IL7R,PIK3R1,NRARP,SP3,RAG2,GPR89B",ImmuneGO by Modules
"Differentiation, T cell, Thymus",Adaptive,Cellular,T cell,24,"RAG2,NKAP,STAT5B,IL2RG,IL7R,CTNNB1,RAG1,GLI3,ZFP36L2,NCAPH2,ZFP36L1,BCL2,ADAM17,PRKDC,GATA3,WNT4,RPS6,LIG4,CDK6,BRAF,B2M,JMJD6,PSMB11,TESPA1",ImmuneGO by Modules
"Differentiation, T cell, Immune response",Adaptive,Cellular,T cell,1,FCER1G,ImmuneGO by Modules
"Extravasation, T cell",Adaptive,Cellular,T cell,2,"XG,CD99",ImmuneGO by Modules
"Homeostasis, T cell",Adaptive,Cellular,T cell,19,"PPP2CA,CHST3,BCL2,SPNS2,JAK3,STAT5B,ZC3H8,NCKAP1L,PPP2R1A,RC3H1,IL7R,CORO1A,RAG1,PPP3CB,IL20RB,GPR15LG,CASP3,CCNB2,PRDX2",ImmuneGO by Modules
"Homeostasis, Proliferation, T cell",Adaptive,Cellular,T cell,1,BAX,ImmuneGO by Modules
"Lineage commitment, T cell",Adaptive,Cellular,T cell,4,"IL7,BCL2,RAG2,PRKDC",ImmuneGO by Modules
"Migration, Meandering, T cell",Adaptive,Cellular,T cell,1,MYO1G,ImmuneGO by Modules
T cell-mediated cytotoxicity,Adaptive,Cellular,T cell,10,"GZMM,CTSH,TAP2,PPP3CB,PRF1,EMP2,CTSC,HPRT1,IL7R,B2M",ImmuneGO by Modules
T cell-mediated immunity,Adaptive,Cellular,T cell,9,"CD46,CLEC4G,JAG1,MYO1G,CR2,BTN3A2,CD70,GNL1,CR1",ImmuneGO by Modules
"Migration, T cell",Adaptive,Cellular,T cell,9,"GPR15,MYO1G,CORO1A,FUT7,ZAP70,S1PR1,MSN,CCL20,ITGB7",ImmuneGO by Modules
"Proliferation, T cell",Adaptive,Cellular,T cell,26,"PIK3CG,CD28,PSMB10,EFNB1,IL12B,CORO1A,PTPRC,FKBP1B,LIPA,PTPN6,KITLG,PPP3CB,LMBR1L,RASGRP1,IL20RB,MSN,CTPS1,TNFRSF4,IL2,IDO1,RC3H1,CD151,SCGB1A1,SPN,CCND3,PRDX2",ImmuneGO by Modules
"Proliferation, Immune response, T cell",Adaptive,Cellular,T cell,3,"LILRB1,SLC11A1,RPS6",ImmuneGO by Modules
"Signaling, T cell",Adaptive,Cellular,T cell,52,"GATA3,SKAP1,THEMIS2,THEMIS,CD3G,KHDRBS1,PTPRC,CACNB3,ZAP70,BTK,PDE4B,PDE4D,RC3H1,CD247,ITK,UBE2N,ABL1,NFKBID,BRAF,CRKL,PLCG2,DENND1B,MAPK1,TXK,VTCN1,PSEN1,FYB2,CTLA4,BTNL8,CD8B,BTN3A2,BCL10,CSK,CD28,BTNL10P,TEC,ZNF683,CD276,PLCG1,EIF2B2,FOSL2,PTPN6,BCAR1,BTNL9,BTNL3,BTN2A1,HLA-DRB3,PTPRJ,PIK3CA",ImmuneGO by Modules
"V(D)J, T cell, Receptor",Adaptive,Cellular,T cell,2,"LIG4,PRKDC",ImmuneGO by Modules
"Selection, T cell",Adaptive,Cellular,T cell,1,CD1D,ImmuneGO by Modules
"Differentiation, Th cell, Follicular",Adaptive,Cellular,T helper,2,"GPR183,RC3H1",ImmuneGO by Modules
"Activation, Th1 cell",Adaptive,Cellular,T helper,2,"HMGB1,CEBPB",ImmuneGO by Modules
"Differentiation, Th1 cell",Adaptive,Cellular,T helper,3,"RELB,HMGB1,IL4R",ImmuneGO by Modules
"Lineage commitment, Th1 cell",Adaptive,Cellular,T helper,3,"SPN,STAT6,MTOR",ImmuneGO by Modules
"Immune response, Th1",Adaptive,Cellular,T helper,5,"TLR4,IL18BP,RELB,IL12B,BCL3",ImmuneGO by Modules
"Chemotaxis, Th17 cell",Adaptive,Cellular,T helper,1,CCR2,ImmuneGO by Modules
"Differentiation, Th17 cell",Adaptive,Cellular,T helper,2,"RORC,RORA",ImmuneGO by Modules
"Lineage commitment, Th17 cell",Adaptive,Cellular,T helper,4,"IL6R,STAT3,IL6ST,JAK1",ImmuneGO by Modules
"Immune response, Th17",Adaptive,Cellular,T helper,3,"STAT3,NOTCH1,PHB1",ImmuneGO by Modules
"Activation, Th2 cell",Adaptive,Cellular,T helper,1,TNFSF4,ImmuneGO by Modules
"Differentiation, Th2 cell",Adaptive,Cellular,T helper,7,"BCL6,IL4R,GATA3,MYB,MEN1,BCL3,KMT2A",ImmuneGO by Modules
"Differentiation, Th cell",Adaptive,Cellular,T helper,3,"PTGER4,ATP7A,IL12B",ImmuneGO by Modules
"Lineage commitment, Th cell",Adaptive,Cellular,T helper,1,ZFPM1,ImmuneGO by Modules
"Selection, T cell, Thymic",Adaptive,Cellular,T cell,3,"ZAP70,ITPKB,GATA3",ImmuneGO by Modules
"Migration, Thymocyte",Adaptive,Cellular,Thymocyte,2,"CCL20,CORO1A",ImmuneGO by Modules
"Development, Thymocyte",Adaptive,Cellular,Thymocyte,25,"ABL1,ASXL1,MAP2K1,HAND2,BCL2,MAP2K2,FOXI3,SOD1,PSEN1,CACNB4,TGFBR1,CRKL,MAPK3,EPHB3,SRF,LMO4,GATA3,PBX1,CCNB2,MAPK1,CTNNB1,RAG1,PRDX2,BRAF,TYR",ImmuneGO by Modules
"PRR, TIRAP dep, TLR4",Innate,PRR,All,1,TIRAP,ImmuneGO by Modules
"Tolerance, Induction",Adaptive,Tolerance,Undefined,1,LILRB4,ImmuneGO by Modules
"Tolerance, Induction, immune response",Adaptive,Tolerance,Undefined,1,PSG9,ImmuneGO by Modules
"Tolerance, Induction, LPS",Adaptive,Tolerance,Undefined,2,"TNFAIP3,ACOD1",ImmuneGO by Modules
"PRR, TLR2, Pathway",Innate,PRR,All,2,"PIK3AP1,TNIP2",ImmuneGO by Modules
"PRR, TLR3, Pathway",Innate,PRR,All,3,"TNIP2,SCIMP,TICAM1",ImmuneGO by Modules
"PRR, TLR4, Pathway",Innate,PRR,All,9,"TLR4,CD14,NAGLU,PIK3AP1,NFKBIA,SCIMP,TIRAP,RELA",ImmuneGO by Modules
"PRR, TLR7, Pathway",Innate,PRR,All,2,"PIK3AP1,SCIMP",ImmuneGO by Modules
"PRR, TLR9, Pathway",Innate,PRR,All,2,"TNIP2,PIK3AP1",ImmuneGO by Modules
"PRR, TLR, Pathway",Innate,PRR,All,9,"AP3B1,TLR4,FOSL1,RPS6KA3,MAPKAPK2,PLCG2,BCL10,TICAM1,CTSS",ImmuneGO by Modules
"PRR, TLR1:2, Pathway",Innate,PRR,All,1,SCIMP,ImmuneGO by Modules
"PRR, TLR4 TRAM dep, Pathway",Innate,PRR,All,3,"PRKCE,TICAM2,RAB11FIP2",ImmuneGO by Modules
"Differentiation, B cell, Transitional one stage",Adaptive,Humoral,B cell,1,ABL1,ImmuneGO by Modules
"PRR, TLR TRIF dep, Pathway",Innate,PRR,All,4,"TICAM2,TICAM1,TLR4,CD40",ImmuneGO by Modules
"Immune response, Th2",Adaptive,Cellular,T cell,4,"BCL6,FCER1A,IL10,IL33",ImmuneGO by Modules
"Hypersensitivity, Type I",Adaptive,Humoral,Allergy,1,FCER1A,ImmuneGO by Modules
"Signaling, Interferon I, Pathway",Innate,Interferon,Undefined,19,"IFNE,STAT2,HDAC4,STAT1,IFITM1,JAK1,OAS2,TYK2,IFNAR1,IFNAR2,IFI27,TRIM65,TBKBP1,IFITM3,SP100,C9JQL5,IFITM2,IFNA8,MAVS",ImmuneGO by Modules
"Signaling, Interferon II, Pathway",Innate,Interferon,Undefined,8,"STAT1,IRF1,JAK1,IFNGR1,TYK2,HCK,IFNGR2,SP100",ImmuneGO by Modules
"Signaling, Interferon III, Pathway",Innate,Interferon,Undefined,10,"IFNGR1,IFNLR1,IL10RB,IFNL1,TYK2,IFNL4,IFNGR2,IFNL3,JAK1,IFNL2",ImmuneGO by Modules
V(D)J Recombination,Adaptive,General,Lymphocyte,6,"HMGB1,RAG2,RAG1,LIG4,HMGB2,PRKDC",ImmuneGO by Modules
