"process","genes","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue","set_size"
"POSITIVE REGULATION OF NUCLEOTIDE-BINDING OLIGOMERIZATION DOMAIN CONTAINING 2 SIGNALING PATHWAY","HSPA1A,HSPA1B,TLR4,SLC15A3,SLC15A4",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF OPSONIZATION","FCN1,FCN2,MBL2,CFP,PLA2G5,FCN3,COLEC10,COLEC11,MYO18A",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF OSTEOCLAST DEVELOPMENT","TYROBP,GPR68,TNFSF11,SLC9B2",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF OSTEOCLAST DIFFERENTIATION","CCR1,CREB1,CSF1,FOS,IFNG,IL12B,IL17A,NEDD9,NOTCH2,POU4F1,POU4F2,PPP3CA,KLF10,TNF,TRAF6,TNFSF11,IL20,IL23A,TREM2,OCSTAMP,PPARGC1B,IL23R,TMEM64",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY","ZDHHC5",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF PERIPHERAL T CELL TOLERANCE INDUCTION","FOXP3",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF PLASMA CELL DIFFERENTIATION","IL2,IL10,XBP1",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF PLATELET FORMATION","MPL,PRKDC",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF PRO-T CELL DIFFERENTIATION","ZBTB1",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF PROSTAGLANDIN SECRETION INVOLVED IN IMMUNE RESPONSE","MIF",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF REGULATORY T CELL DIFFERENTIATION","BCL6,CR1,FOXO3,HLA-G,IL2,CD46,SOX12,SOCS1,LILRB2,BTN2A2,KAT5,LILRB4,DUSP10,FOXP3,AMBRA1,VSIR,IL4I1",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF RESPIRATORY BURST INVOLVED IN INFLAMMATORY RESPONSE","LBP,RPS19",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF RIG-I SIGNALING PATHWAY","OASL,PUM1,USP15,PUM2,ANKRD17,DDX60,DHX58,ZCCHC3,TRIM15,USP17L2",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T CELL ACTIVATION","B2M,CD4,CD47,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB3,HLA-DRB4,HLA-DRB5,HSPD1,LCK,PRKCQ,CCL2,THY1,TNFSF11,BCL10,SIRPB1,FCHO1,PYCARD,CYRIB,SIRPG,SIRPA,CCDC88B,CCR2",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T CELL ACTIVATION VIA T CELL RECEPTOR CONTACT WITH ANTIGEN BOUND TO MHC MOLECULE ON ANTIGEN PRESENTING CELL","CD81,HLA-DMB,LGALS9",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T CELL ANERGY","CBLB,CD3E,LILRB4,FOXP3,ITCH",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T CELL CHEMOTAXIS","ADAM10,S100A7,CCL5,CCL21,XCL1,XCL2,ADAM17,WNT5A,TNFSF14,OXSR1,CXCL13,STK39,WNK1,TMEM102,CCR2",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T CELL COSTIMULATION","CCR7",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T CELL CYTOKINE PRODUCTION","B2M,CD55,HLA-A,XCL1,MAP3K7,TRAF2,TRAF6,TNFSF4,FZD5,MALT1,SASH3",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T CELL DIFFERENTIATION","ACTB,ACTL6A,RHOH,BAD,CD27,CD74,GATA3,IL2RA,IL4,IL7,MDK,RAG1,SMARCA2,SMARCA4,SMARCB1,SMARCC1,SMARCC2,SMARCD1,SMARCD2,SMARCD3,SMARCE1,WNT10B,XBP1,ZAP70,ARID1A,IL1RL2,ZBTB1,IL36B,BRD7,ACTL6B,PBRM1,PHF10,ZMIZ1,ARID1B,PIK3R6,ARID2",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T CELL DIFFERENTIATION IN THYMUS","ADA,ADAM8,EGR3,GLI2,IHH,IL2RG,IL7R,SHH,VNN1,TESPA1,RASGRP1",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T CELL EXTRAVASATION","CD99L2",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T CELL MEDIATED CYTOTOXICITY","B2M,CD1A,CD1B,CD1C,CD1D,CD1E,HFE,HLA-A,HLA-B,HLA-C,HLA-DRA,HLA-DRB1,HLA-E,HLA-F,HLA-G,HLA-H,IL12A,IL12B,IL12RB1,MICB,P2RX7,PTPRC,XCL1,TAP2,STX7,FADD,IL23A,CYRIB,ULBP3,ULBP2,ULBP1,RAET1E,IL23R,RAET1L,RAET1G,MICA",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T CELL MEDIATED CYTOTOXICITY DIRECTED AGAINST TUMOR CELL TARGET","MR1,SLC22A13",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T CELL MEDIATED IMMUNE RESPONSE TO TUMOR CELL","HLA-DRB1,HLA-DRB3,HSPD1,FBXO38",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T CELL MEDIATED IMMUNITY","IL1B,ZBTB1",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T CELL MIGRATION","ABL1,ABL2,AIF1,APP,RHOA,CXCL10,ITGA4,ITGB3,CCL5,CCL20,CCL21,CXCL12,SPN,TNFRSF14,CORO1A,PYCARD,SELENOK,DOCK8,TMEM102",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T CELL PROLIFERATION","AIF1,ANXA1,CD1D,CD3E,CD6,CD28,CD80,CD86,CD40LG,CD70,DHPS,EFNB1,NCKAP1L,HLA-DMB,HLA-DPA1,HLA-DPB1,HES1,IL1B,IL4,IL6,IL6ST,IL12B,IL15,JAK2,LEP,CD46,KITLG,NCK1,PNP,PTPRC,CCL5,CCL19,SLC7A1,SPTA1,TFRC,TRAF6,TYK2,VCAM1,ZP3,NCK2,DNAJA3,LILRB2,TNFSF13B,CORO1A,CD274,CD209,IL23A,SASH3,ZP4,SELENOK,IL21,VTCN1,PDCD1LG2,CD276,HAVCR2,TNFRSF13C,IL23R,CLECL1P,CCDC88B",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T CELL RECEPTOR SIGNALING PATHWAY","ADA,CD81,CCR7,KCNN4,LCK,NECTIN2,RELA,RPS3,IKBKG,BCL10,RAB29,TESPA1,CD226,PRKD2,TRAT1,CARD11",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T CELL TOLERANCE INDUCTION","HLA-G,IDO1,TGFBR2,LILRB2",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T-HELPER 1 CELL CYTOKINE PRODUCTION","IL1B,IL1R1,IL18,XCL1,SLAMF1,IL18R1,ARID5A,TBX21",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T-HELPER 1 CELL DIFFERENTIATION","ANXA1,CD80,HLX,CCL19,RIPK2,SOCS5",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T-HELPER 1 TYPE IMMUNE RESPONSE","IL12B,IL12RB1,PLA2G4A,SLC11A1,RIPK2,IL27RA,IL23A,IL23R,NLRP10,CCR2",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T-HELPER 17 CELL DIFFERENTIATION","MALT1,NFKBIZ,NFKBID,MIR21",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T-HELPER 17 CELL LINEAGE COMMITMENT","IL12B,IL12RB1,IL23A,IL23R",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T-HELPER 17 TYPE IMMUNE RESPONSE","IL12B,IL12RB1,JAK2,PRKCQ,TYK2,ARID5A,IL23A,CARD9,CLEC7A,CLEC6A,IL23R,NLRP10,MIR21",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T-HELPER 2 CELL ACTIVATION","PRKCQ",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T-HELPER 2 CELL CYTOKINE PRODUCTION","CD81,GATA3,IL4,IL6,PRKCZ,XCL1,RSAD2,NLRP3,DENND1B",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T-HELPER 2 CELL DIFFERENTIATION","CD86,IL4R,IL18,PRKCZ,RARA,TNFSF4,NLRP3",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF T-HELPER CELL DIFFERENTIATION","SHB",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF THYMOCYTE MIGRATION","XCL1,CCR2",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF TOLERANCE INDUCTION","HLA-G,LILRB2",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF TOLERANCE INDUCTION TO SELF ANTIGEN","TGFBR2",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF TOLERANCE INDUCTION TO TUMOR CELL","CD274",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF TOLL-LIKE RECEPTOR 2 SIGNALING PATHWAY","CYBA,F2RL1,TLR1,MFHAS1,PJA2,TIRAP",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF TOLL-LIKE RECEPTOR 3 SIGNALING PATHWAY","CAV1,F2RL1,FLOT1,PTPN22,PELI1,WDFY1,TIRAP",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY","CD14,F2RL1,IFI35,LBP,LTF,NINJ1,NR1H3,PTPN22,PELI1,WDFY1,TIRAP,TICAM2",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF TOLL-LIKE RECEPTOR 7 SIGNALING PATHWAY","DDX3X,PTPN22,TASL,RSAD2,SLC15A4,TREML4",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF TOLL-LIKE RECEPTOR 8 SIGNALING PATHWAY","DDX3X,TASL,SLC15A4",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF TOLL-LIKE RECEPTOR 9 SIGNALING PATHWAY","HMGB1,PTPN22,TLR9,RTN4,RSAD2,SLC15A4",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF TOLL-LIKE RECEPTOR SIGNALING PATHWAY","TLR2,TLR3,TLR5,TLR9",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF TYPE 2 IMMUNE RESPONSE","CD74,IDO1,TNFSF4,NOD2,IL33,NLRP3",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF TYPE I HYPERSENSITIVITY","BTK",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY","UBE2K,IRF3,IRF7,MMP12,WNT5A,FADD,IKBKE,LSM14A,TBK1,RBM47,MAVS,USP29,ZBP1,TRIM56,NLRC5,TRIM41,RNF185,TRIM6,STING1,USP27X",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF TYPE II INTERFERON-MEDIATED SIGNALING PATHWAY","HPX,MED1,TXK,PARP9,NLRC5,IRGM",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF TYPE IIA HYPERSENSITIVITY","C3,FCGR1A",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF TYPE III HYPERSENSITIVITY","BTK,FCGR1A",NA,NA,NA,NA,NA,NA
"POSITIVE REGULATION OF TYPE IV HYPERSENSITIVITY","ZP3",NA,NA,NA,NA,NA,NA
"POSITIVE T CELL SELECTION","THEMIS,BRAF,BCL11B","GO:0043368","Adaptive","Cellular","Selection+, T cell","T cell",2
"POSITIVE T CELL SELECTION","THEMIS,BRAF,BCL11B",NA,NA,NA,NA,NA,NA
"POSITIVE THYMIC T CELL SELECTION","SRF,ZAP70,ITPKB,PTPRC,CD3G,CD3D,CD3E,CD74,DOCK2,SHH,STK11","GO:0045059","Adaptive","Cellular","Selection+, Thymic, T cell","T cell",5
"POSITIVE THYMIC T CELL SELECTION","SRF,ZAP70,ITPKB,PTPRC,CD3G,CD3D,CD3E,CD74,DOCK2,SHH,STK11",NA,NA,NA,NA,NA,NA
"PRE-B CELL ALLELIC EXCLUSION","RAG1,RAG2,ATM","GO:0002331","Adaptive","Humoral","Allelic exclusion, pre-B cell","B cell",2
"PRE-B CELL ALLELIC EXCLUSION","RAG1,RAG2,ATM",NA,NA,NA,NA,NA,NA
"PRE-B CELL DIFFERENTIATION","LRRC8A","GO:0002329","Adaptive","Humoral","Differentiation, pre-B cell","B cell",1
"PRIMARY ADAPTIVE IMMUNE RESPONSE INVOLVING T CELLS AND B CELLS","BACH2",NA,NA,NA,NA,NA,NA
"PRIMITIVE ERYTHROCYTE DIFFERENTIATION","GATA1,VEGFA,HSCB,ZFPM1",NA,NA,NA,NA,NA,NA
"PRO-T CELL DIFFERENTIATION","GATA3,SPI1","GO:0002572","Adaptive","Humoral","Differentiation, pro-T cell","B cell",2
"PROTECTION FROM NATURAL KILLER CELL MEDIATED CYTOTOXICITY","HLA-A,HLA-B,HLA-E,HLA-G,SERPINB9,SERPINB4",NA,NA,NA,NA,NA,NA
"REGULATION OF ACTIVATED T CELL PROLIFERATION","CLC,RIPK3",NA,NA,NA,NA,NA,NA
"REGULATION OF ACTIVATION-INDUCED CELL DEATH OF T CELLS","RIPK3",NA,NA,NA,NA,NA,NA
"REGULATION OF ACUTE INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS","PLA2G2D",NA,NA,NA,NA,NA,NA
"REGULATION OF ADAPTIVE IMMUNE RESPONSE","ADCY7,AHR,FCGR2B,IRF1,IRF7,TNFSF4,RIPK3,DUSP10,IL4I1",NA,NA,NA,NA,NA,NA
"REGULATION OF ANTIBACTERIAL PEPTIDE PRODUCTION","EVPL",NA,NA,NA,NA,NA,NA
"REGULATION OF ANTIGEN PROCESSING AND PRESENTATION","YTHDF1",NA,NA,NA,NA,NA,NA
"REGULATION OF ANTIMICROBIAL HUMORAL RESPONSE","GATA6,PPP2R3C",NA,NA,NA,NA,NA,NA
"REGULATION OF B CELL ACTIVATION","CD19,THEMIS2,FCRL3,MIR17HG",NA,NA,NA,NA,NA,NA
"REGULATION OF B CELL ANTIGEN PROCESSING AND PRESENTATION","FCGR2B",NA,NA,NA,NA,NA,NA
"REGULATION OF B CELL CYTOKINE PRODUCTION","BTK",NA,NA,NA,NA,NA,NA
"REGULATION OF B CELL DIFFERENTIATION","ZFP36L1,ZFP36L2,PTPN6,IKZF3,TLR9,SLAMF8,CARD11,FCRL3,NFAM1,IL4I1,MIR17HG",NA,NA,NA,NA,NA,NA
"REGULATION OF B CELL PROLIFERATION","AHR,CD22,IKZF3,MZB1",NA,NA,NA,NA,NA,NA
"REGULATION OF B CELL RECEPTOR SIGNALING PATHWAY","CD19,LYN,PTPN22,GCSAML,GCSAM",NA,NA,NA,NA,NA,NA
"REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION","AGER",NA,NA,NA,NA,NA,NA
"REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION","SH3RF1",NA,NA,NA,NA,NA,NA
"REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL PROLIFERATION","IL2,IL2RA",NA,NA,NA,NA,NA,NA
"REGULATION OF CD8-POSITIVE, ALPHA-BETA CYTOTOXIC T CELL EXTRAVASATION","RIPK3",NA,NA,NA,NA,NA,NA
"REGULATION OF CD8-POSITIVE, ALPHA-BETA T CELL ACTIVATION","CRTAM",NA,NA,NA,NA,NA,NA
"REGULATION OF CD8-POSITIVE, ALPHA-BETA T CELL PROLIFERATION","IRF1,MAPK8IP1,SH3RF1",NA,NA,NA,NA,NA,NA
"REGULATION OF CELLULAR EXTRAVASATION","BST1",NA,NA,NA,NA,NA,NA
"REGULATION OF COMPLEMENT ACTIVATION","C1QBP,CD5L,CD59,CR1L,CD55,CFH,SUSD4",NA,NA,NA,NA,NA,NA
"REGULATION OF COMPLEMENT ACTIVATION, ALTERNATIVE PATHWAY","CFH",NA,NA,NA,NA,NA,NA
"REGULATION OF CYTOKINE PRODUCTION INVOLVED IN IMMUNE RESPONSE","TNFRSF1B,ATG5,TRIL",NA,NA,NA,NA,NA,NA
"REGULATION OF DEFINITIVE ERYTHROCYTE DIFFERENTIATION","GATA1,ZFPM1",NA,NA,NA,NA,NA,NA
"REGULATION OF DENDRITIC CELL CHEMOTAXIS","TNFSF18",NA,NA,NA,NA,NA,NA
"REGULATION OF DENDRITIC CELL CYTOKINE PRODUCTION","TLR3,TLR4,TLR9",NA,NA,NA,NA,NA,NA
"REGULATION OF DENDRITIC CELL DIFFERENTIATION","CEBPB,HLA-B,LILRB2,MIR223",NA,NA,NA,NA,NA,NA
"REGULATION OF ERYTHROCYTE DIFFERENTIATION","B2M,CDK6,HSPA9,LYN,SPI1,P4HTM",NA,NA,NA,NA,NA,NA
"REGULATION OF ESTABLISHMENT OF T CELL POLARITY","GSN",NA,NA,NA,NA,NA,NA
"REGULATION OF EXTRATHYMIC T CELL DIFFERENTIATION","PRDM1,ZNF683",NA,NA,NA,NA,NA,NA
"REGULATION OF FC RECEPTOR MEDIATED STIMULATORY SIGNALING PATHWAY","CSK,PLSCR1,RABGEF1",NA,NA,NA,NA,NA,NA
"REGULATION OF GAMMA-DELTA T CELL DIFFERENTIATION","EGR3,TCF7",NA,NA,NA,NA,NA,NA
"REGULATION OF GERMINAL CENTER FORMATION","BCL6,MEF2C,PKN1,TNFAIP3,RC3H1",NA,NA,NA,NA,NA,NA
"REGULATION OF GRANULOCYTE CHEMOTAXIS","CAMK1D",NA,NA,NA,NA,NA,NA
"REGULATION OF HEMOPOIESIS","PTN,BRPF1,KAT6A,GFI1B,KAT6B,BRD1,BRPF3,TCIM,MEAF6,ING5,MYSM1",NA,NA,NA,NA,NA,NA
"REGULATION OF HUMORAL IMMUNE RESPONSE","CXCL13,SPNS2",NA,NA,NA,NA,NA,NA
"REGULATION OF IMMATURE T CELL PROLIFERATION IN THYMUS","TNFRSF9",NA,NA,NA,NA,NA,NA
"REGULATION OF IMMUNE COMPLEX CLEARANCE BY MONOCYTES AND MACROPHAGES","FCGR2B",NA,NA,NA,NA,NA,NA
"REGULATION OF IMMUNE RESPONSE","BCL6,CD8B2,CD22,DNASE2,FCGR1A,FCGR1BP,FCGR3A,FCGR3B,FGL1,FKBP1A,IL4,INPP5D,INPPL1,IRF7,LAG3,SH2D1A,SMAD3,PDCD1,PTPRD,SPN,HCST,GPR108,SPPL2B,ENTPD7,VSIR,CD276,SLA2,SPPL2A,DENND1B,PIANP",NA,NA,NA,NA,NA,NA
"REGULATION OF IMMUNE SYSTEM PROCESS","BCL6,CEACAM1,CEACAM3,CEACAM7,CEACAM4,GGT1,GGT3P,ORM1,ORM2,PIP,PSG1,PSG3,PSG4,PSG6,PSG7,PSG9,ZBTB25,ZNF131,ZNF134,ZBTB17,ZBTB39,ZBTB33,ZBTB6,ZBTB1,HIC2,PATZ1,ZBTB20,ZBTB32,SIAE,ZBTB2,ZBTB26,ZBTB37,ZBTB45,CEACAM20,ZNF572,ZBTB49,ZBTB12,BCL6B,ZBTB34,PSG8,GGT2P",NA,NA,NA,NA,NA,NA
"REGULATION OF IMMUNOGLOBULIN PRODUCTION","CD40LG,PKN1,TNF,TRAF2,TRAF6,TREX1,CGAS",NA,NA,NA,NA,NA,NA
"REGULATION OF INNATE IMMUNE RESPONSE","BIRC2,BIRC3,XIAP,APOE,CASP8,FCGR2B,FGR,IRF1,NFE2L2,LRP8,N4BP1,SAMHD1,TKFC,APPL1,PTPN22,ERAP1,TREM2,APPL2,DHX58,RNF135,TIRAP",NA,NA,NA,NA,NA,NA
"REGULATION OF ISOTYPE SWITCHING","IL4,IL10,SUPT6H,APLF",NA,NA,NA,NA,NA,NA
"REGULATION OF ISOTYPE SWITCHING TO IGG ISOTYPES","IL27RA,FOXP3,NDFIP1,SLC15A4",NA,NA,NA,NA,NA,NA
"REGULATION OF LEUKOCYTE MEDIATED CYTOTOXICITY","ICAM1",NA,NA,NA,NA,NA,NA
"REGULATION OF LEUKOCYTE MIGRATION","ANXA1,CXCR3,SMPD3",NA,NA,NA,NA,NA,NA
"REGULATION OF LEUKOCYTE TETHERING OR ROLLING","FUT7,FUT9",NA,NA,NA,NA,NA,NA
"REGULATION OF LYMPHOCYTE ACTIVATION","LCK",NA,NA,NA,NA,NA,NA
"REGULATION OF LYMPHOCYTE CHEMOTAXIS","SLC8B1",NA,NA,NA,NA,NA,NA
"REGULATION OF LYMPHOCYTE DIFFERENTIATION","RNF41,IKZF3,NDFIP1",NA,NA,NA,NA,NA,NA
"REGULATION OF LYMPHOCYTE MIGRATION","MSN,STK10,GCSAML",NA,NA,NA,NA,NA,NA
"REGULATION OF MACROPHAGE ACTIVATION","CD74,MIF,RORA,SNCA,GPR137B,PLA2G10,CD84,MFHAS1,PJA2,SHPK,MYO18A",NA,NA,NA,NA,NA,NA
"REGULATION OF MACROPHAGE CHEMOTAXIS","PTK2B,MTUS1",NA,NA,NA,NA,NA,NA
"REGULATION OF MACROPHAGE CYTOKINE PRODUCTION","LITAF,UBE2J1",NA,NA,NA,NA,NA,NA
"REGULATION OF MACROPHAGE DIFFERENTIATION","MIR223",NA,NA,NA,NA,NA,NA
"REGULATION OF MACROPHAGE MIGRATION","CD9,CD81",NA,NA,NA,NA,NA,NA
"REGULATION OF MAST CELL ACTIVATION","LYN,PLSCR1",NA,NA,NA,NA,NA,NA
"REGULATION OF MAST CELL APOPTOTIC PROCESS","ADAM17",NA,NA,NA,NA,NA,NA
"REGULATION OF MAST CELL CHEMOTAXIS","RAC2",NA,NA,NA,NA,NA,NA
"REGULATION OF MAST CELL DEGRANULATION","FER,FES,LYN,PDPK1,RAC2,STXBP2,ADGRE2,C12orf4,UNC13D",NA,NA,NA,NA,NA,NA
"REGULATION OF MAST CELL DIFFERENTIATION","TAL1",NA,NA,NA,NA,NA,NA
"REGULATION OF MEGAKARYOCYTE DIFFERENTIATION","PRMT1,EIF6,LOX,MEF2C,CNOT4,L3MBTL1,PRMT6,RBM15",NA,NA,NA,NA,NA,NA
"REGULATION OF MEMORY T CELL DIFFERENTIATION","BCL6",NA,NA,NA,NA,NA,NA
"REGULATION OF MICROGLIAL CELL ACTIVATION","ATM,IL6,MMP8,SPHK1",NA,NA,NA,NA,NA,NA
"REGULATION OF MICROGLIAL CELL MIGRATION","CX3CR1,P2RY12",NA,NA,NA,NA,NA,NA
"REGULATION OF MONOCYTE CHEMOTAXIS","LYN",NA,NA,NA,NA,NA,NA
"REGULATION OF MONOCYTE DIFFERENTIATION","IRF7,FOXP1",NA,NA,NA,NA,NA,NA
"REGULATION OF MYD88-DEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY","IRF1,IRF7",NA,NA,NA,NA,NA,NA
"REGULATION OF MYD88-INDEPENDENT TOLL-LIKE RECEPTOR SIGNALING PATHWAY","IRF7",NA,NA,NA,NA,NA,NA
"REGULATION OF MYELOID CELL DIFFERENTIATION","CSF3R,PURB,RARG,MAFB,RNF41",NA,NA,NA,NA,NA,NA
"REGULATION OF MYELOID LEUKOCYTE DIFFERENTIATION","NDFIP1",NA,NA,NA,NA,NA,NA
"REGULATION OF NATURAL KILLER CELL ACTIVATION","KLRC1,KLRC2,KLRC3,KLRD1,LEP,DCAF15",NA,NA,NA,NA,NA,NA
"REGULATION OF NATURAL KILLER CELL DIFFERENTIATION","PRDM1,ZNF683",NA,NA,NA,NA,NA,NA
"REGULATION OF NATURAL KILLER CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE","ZNF683",NA,NA,NA,NA,NA,NA
"REGULATION OF NATURAL KILLER CELL MEDIATED CYTOTOXICITY","KLRB1,LEP,NCR1,PIK3R6",NA,NA,NA,NA,NA,NA
"REGULATION OF NATURAL KILLER CELL MEDIATED IMMUNITY","HLA-E",NA,NA,NA,NA,NA,NA
"REGULATION OF NATURAL KILLER CELL PROLIFERATION","LEP,PTPN22",NA,NA,NA,NA,NA,NA
"REGULATION OF NEUTROPHIL ACTIVATION","PLA2G2A",NA,NA,NA,NA,NA,NA
"REGULATION OF NEUTROPHIL APOPTOTIC PROCESS","SLC7A11",NA,NA,NA,NA,NA,NA
"REGULATION OF NEUTROPHIL CHEMOTAXIS","BST1,MPP1,NOD2,JAM3",NA,NA,NA,NA,NA,NA
"REGULATION OF NEUTROPHIL DEGRANULATION","SYK,PRAM1",NA,NA,NA,NA,NA,NA
"REGULATION OF NEUTROPHIL EXTRAVASATION","FUT7",NA,NA,NA,NA,NA,NA
"REGULATION OF NEUTROPHIL MEDIATED CYTOTOXICITY","DNASE1,DNASE1L3",NA,NA,NA,NA,NA,NA
"REGULATION OF NEUTROPHIL MEDIATED KILLING OF GRAM-NEGATIVE BACTERIUM","CXCL6",NA,NA,NA,NA,NA,NA
"REGULATION OF NEUTROPHIL MIGRATION","MYD88,RAC2",NA,NA,NA,NA,NA,NA
"REGULATION OF NK T CELL DIFFERENTIATION","PRDM1,ZNF683",NA,NA,NA,NA,NA,NA
"REGULATION OF NUCLEOTIDE-BINDING OLIGOMERIZATION DOMAIN CONTAINING SIGNALING PATHWAY","BIRC2,BIRC3,XIAP,SLC15A2,SLC15A4",NA,NA,NA,NA,NA,NA
"REGULATION OF OPSONIZATION","C4BPA,C4BPB",NA,NA,NA,NA,NA,NA
"REGULATION OF OSTEOCLAST DEVELOPMENT","NOTCH2,SIGLEC15",NA,NA,NA,NA,NA,NA
"REGULATION OF OSTEOCLAST DIFFERENTIATION","BGLAP,CAMK4,CEBPB,ESRRA,MTOR,FSHB,MITF,TFE3,RASSF2,PRXL2A,UBASH3B",NA,NA,NA,NA,NA,NA
"REGULATION OF POSITIVE THYMIC T CELL SELECTION","FOXN1,TOX",NA,NA,NA,NA,NA,NA
"REGULATION OF PRIMITIVE ERYTHROCYTE DIFFERENTIATION","GATA1,GATA2",NA,NA,NA,NA,NA,NA
"REGULATION OF REGULATORY T CELL DIFFERENTIATION","CD28,FANCA,FANCD2,KAT2A,PSG9,DROSHA",NA,NA,NA,NA,NA,NA
"REGULATION OF RESPIRATORY BURST INVOLVED IN INFLAMMATORY RESPONSE","NCF1",NA,NA,NA,NA,NA,NA
"REGULATION OF RESPONSE TO TYPE II INTERFERON","PARP9",NA,NA,NA,NA,NA,NA
"REGULATION OF RIG-I SIGNALING PATHWAY","BIRC2,BIRC3,NOP53",NA,NA,NA,NA,NA,NA
"REGULATION OF T CELL ACTIVATION","CD4,KAT2A,CCL5,TREX1,LAT,SIT1,PAG1,CRTAM,CGAS",NA,NA,NA,NA,NA,NA
"REGULATION OF T CELL ANERGY","CLC,HLA-B,PHLPP1,FOXP3",NA,NA,NA,NA,NA,NA
"REGULATION OF T CELL ANTIGEN PROCESSING AND PRESENTATION","WAS",NA,NA,NA,NA,NA,NA
"REGULATION OF T CELL CHEMOTAXIS","CXCL10",NA,NA,NA,NA,NA,NA
"REGULATION OF T CELL CYTOKINE PRODUCTION","CLC,TNFRSF1B,TRPM4,CCR2",NA,NA,NA,NA,NA,NA
