...1	Cond1	Cond2	Shared	NotShared_cond1	NotShared_cond2	Total_Genes_Cond1	Total_Genes_Cond2	Genes_Names	Percentage_Shared_Cond1	Percentage_Shared_Cond2	pvalue	qvalue
13428	I (D10, moderate)	MMR II (Y7)	158	314	326	3035	3175	A2M,BST1,C1QA,C1QC,FAXDC2,CD1C,CD4,CD40LG,CD9,CEBPA,CLEC10A,CLEC4A,CLEC5A,CR1,CSF1R,CTSF,DBH,EDNRB,FCER1A,FCGR1A,FN1,HHEX,IL1R1,KRT1,LIME1,LRP5,LY86,LY96,NAIP,NLRC4,PPARG,PPBP,PTGDR2,RNASE6,RNF125,RORC,RPL22,S100A12,S100A8,S100A9,S1PR1,SERPINE1,SIGLEC10,SIRPG,STXBP1,TLR5,TNFSF11,TSPAN32,VNN1,VSIG4,WNT1,WNT10B,ADAMDEC1,ADGRB1,ADM,AIM2,APOBEC3A,APOBEC3B,BATF2,C1R,C2,C5,CASP1,CCRL2,CD274,CD38,CDC42EP2,CDKN2B,CEACAM1,CFB,CH25H,CLEC12B,CR1L,CTSL,CXCL10,CXCL11,CYP7B1,DDX60,DLL4,DNASE1L3,DTX3L,DUSP1,EIF2AK2,FFAR3,FLT3,FUT4,GBP1,GBP2,GBP6,GCH1,GCNT1,GPR15,HERC5,ICAM1,IFI27,IFI35,IFI44,IFI44L,IFI6,IFIH1,IFIT1,IFIT2,IFIT3,IFIT5,IFITM1,IL15,IL1RN,IRAK2,ISG15,ITGA7,ITGB8,JAG1,JAK2,KLF6,LAMP3,LGALS9B,LILRA4,LILRA5,LILRA6,LILRB4,LRRC32,MX1,MZB1,NBN,NEURL3,NMI,NOD2,OAS1,OAS2,OAS3,OASL,PARP14,PARP9,PDCD1,PDCD1LG2,PLSCR1,PML,PTPRS,RAB20,RNASE2,RSAD2,SAMD9,SAMSN1,SERPING1,SMPD3,SP100,STAT2,TAP1,TLR2,TNFAIP6,TNFSF10,TNFSF13B,TRAFD1,TRIM22,TRIM25,TRIM6,USP18,ZBP1	5.21	4.98	3.31356331911435e-102	2.94332589840956e-101
13429	I (D10, severe)	MMR II (Y7)	126	346	409	3035	3665	A2M,ALOX5,APBB1IP,AQP3,ARRB2,BST1,CARD9,CCR2,CD101,CD1C,CD209,CD27,CD300C,CD300LB,CD36,CD4,CD40LG,CD9,CLEC10A,CLEC7A,CR1,CSF1R,DBH,DTX1,EVI2B,FCER1A,FPR1,GPRC5B,HLA-DMA,HLA-DMB,HRH2,IFNGR1,IL1R1,ITGAM,KRT1,LAT2,LIME1,LRP1,LRP5,LY96,MPEG1,NAIP,PPARG,PPBP,PTGDR2,RASSF2,RNASE6,RORC,RPL22,S100A12,S100A8,S100A9,S1PR1,SIRPG,SKAP2,SLC11A1,STXBP1,TENM1,TLR5,TMEM14C,TNFSF11,VNN1,VSIG4,ADGRB1,AIM2,APOBEC3A,ARID5A,C1R,CCL2,CCR1,CD40,CDC42EP2,CDKN2B,CH25H,CLEC12B,CR1L,DLL1,DLL4,DNASE1L3,DUSP1,DYSF,EDN1,EIF2AK2,FLT3,GBP4,GPR15,GTPBP1,IDO1,IFI27,IFITM1,IFITM2,IL4I1,INHBA,ITGA7,ITGB8,JAG1,JAK2,KLF6,LILRA5,LILRA6,LYN,OASL,OPTN,PARP3,PARP9,PDCD1,PLSCR1,PMAIP1,PRLR,PTPRS,RAB20,SAMSN1,SEMA4A,SLAMF7,SMPD3,SP100,SRC,TANK,TLR2,TLR3,TMEM229B,TNFAIP6,TRIM22,TRIM25,VAV3,ZBP1	4.15	3.44	9.12651640294412e-138	4.42754631561727e-136
13430	I (D26, moderate)	MMR II (Y7)	75	397	240	3035	2016	A2M,ALOX5,AQP3,BST1,FAXDC2,CD27,CD36,CD40LG,CD9,CLEC5A,CR1,CTSF,DBH,EDNRB,FCER1A,FN1,GPNMB,HRH2,IFNGR1,IL1R1,ITGAM,LIME1,LOXL3,LY86,LY96,NAIP,NLRC4,PPARG,PPBP,PRAM1,RNASE6,RORC,S100A12,S100A8,S100A9,S1PR1,SIRPG,SLC11A1,SNCA,TLR5,VNN1,VSIG4,ADGRB1,C1R,CDKN2B,CH25H,CLEC12B,CR1L,DLL1,DLL4,DNASE1L3,DUSP1,FASLG,FLT3,FUT4,GBP4,GPR15,IFITM2,INHBA,ITGA7,JAG1,KLF6,LAG3,LILRA4,LILRA5,LILRA6,OPTN,PLVAP,PTPRS,RNASE2,SAMSN1,SEMA4A,SPTA1,TLR2,TRIM25	2.47	3.72	4.95577311080316e-123	1.1162328777456399e-121
13431	I (D26, severe)	MMR II (Y7)	124	348	403	3035	3289	A2M,AQP3,BST1,C1QA,CARD9,CD14,CD1C,CD209,CD27,CD300C,CD300LB,CD4,CD40LG,CD9,CLEC10A,CLEC5A,CLEC7A,CR1,CSF1R,CTSF,DBH,DTX1,EPHB3,EPS8,EVI2B,FCER1A,FCGR1A,FES,GRAMD4,HHEX,IFNGR1,IL1R1,KCNQ1,LIME1,LRP1,LY96,MMP28,MPEG1,NAIP,PPARG,PPBP,PTGDR2,RGCC,RORC,S100A12,S100A8,S100A9,S1PR1,SIRPG,STXBP1,TENM1,TLR5,TNFSF11,TSPAN32,VNN1,VSIG4,ADGRB1,AIM2,APOBEC3A,AXL,CCRL2,CD40,CDC42EP2,CEACAM1,CH25H,CLEC12B,CR1L,DHX58,DLL4,DNASE1L3,DUSP1,DYRK3,EDN1,EIF2AK2,FAS,FASLG,FLT3,FUT4,GPR15,ICAM1,IFI27,IFI44,IFI44L,IL1RN,IL4I1,INHBA,IRAK2,IRF7,ITGA7,ITGB8,JAG1,JAK2,KLF6,LGALS9B,LILRA6,MDK,MYO1G,NR1H3,PARP3,PARP9,PDCD1,PLSCR1,PMAIP1,PRG2,PRLR,PTGDS,PTPRS,RAB20,RNASE2,SAMSN1,SMPD3,SP100,SPTA1,SRC,TANK,TLR2,TLR3,TMEM229B,TRAF2,TREX1,TRIM22,TRIM25,TRPM4,VAV3	4.09	3.77	7.60601439883569e-138	3.837501487196429e-136
13432	I (D51, moderate)	MMR II (Y7)	3	469	10	3035	57	IL16,SNCA,CR1L	0.1	5.26	1.68451111204582e-18	7.515874055101679e-19
13433	I (D51, severe)	MMR II (Y7)	106	366	269	3035	2435	ALOX5,AQP3,CD1C,CD209,CD4,CD40LG,CLEC10A,CR1,CSF1R,DTX1,EVI2B,FCER1A,FCGR1A,FCGRT,FOS,FPR1,IL1A,IL1R1,LGALS3,LY96,MMP28,MPEG1,PPARG,PPBP,RORC,S100A12,S100A8,S100A9,S1PR1,TLR5,VNN1,ADM,ADORA2A,AIM2,APOBEC3A,BAK1,BATF2,C1R,CD274,CDKN1A,CH25H,DNASE1L3,DYSF,EDN1,EIF2AK2,ENDOU,FAS,FLT3,FOSL1,FUT4,GBP1,GBP2,GBP6,GCH1,GPR15,GTPBP1,HLX,ICAM1,IFIH1,IFITM1,IFITM2,IFNG,IL1RN,IL27,INHBA,IRAK2,IRF1,ISG20,ITGA7,ITGB8,JAG1,JAK2,KLF6,NBN,NCF1,NINJ1,NMI,NOD2,NR4A3,PARP14,PARP9,PLSCR1,PMAIP1,PSMB9,RAB20,RAPGEF3,RELB,RHBDF2,RIPK2,RNF19B,RNF213,SAMSN1,SECTM1,SH2B2,SLC7A5,SOCS1,SPHK1,STAT1,TAP1,TICAM1,TLR2,TNFAIP6,TRIM22,TRIM25,ZBP1,ZNFX1	3.49	4.35	2.11265917920603e-114	3.02815562559319e-113
13435	I-I (D1)	MMR II (Y7)	3	469	11	3035	94	FCER2,PAX5,TNFRSF13B	0.1	3.19	4.8826409044805597e-20	2.32489984777107e-20
13437	ZF2001 (V3, D07)	MMR II (Y7)	51	421	179	3035	1337	CCR2,EPHB3,IL1A,KRT1,LILRB5,RGCC,ADM,ADORA2A,CCL3,CCL4,CCL8,CCRL2,CD83,CDKN1A,CR1L,CSF1,CYP7B1,EPHB1,FASLG,FFAR2,FFAR3,FOSL1,FUT4,HCAR2,HRH1,ICAM1,IDO2,IFIH1,IL1RN,INHBA,ITGB8,MZB1,NINJ1,NR4A3,OSM,PDE4B,PMAIP1,PRG4,RAB20,RELB,RGS1,RIPK2,RNF19B,SCIN,SLC7A5,SOCS1,SPHK1,TICAM1,TNF,TNFAIP6,WNT5A	1.68	3.81	6.72126856446222e-114	9.525607106396809e-113
13438	ZF2001 (V3, D14)	MMR II (Y7)	14	458	19	3035	192	A2M,LILRB5,RGCC,ADM,ADORA2A,CHRNB2,CSF1,IDO2,IFNG,IL1RN,IL6,KLF6,PMAIP1,SPHK1	0.46	7.29	1.04934049819306e-25	6.211041153678099e-26
13439	ZF2001 (V3, D28)	MMR II (Y7)	6	466	11	3035	179	RGCC,CCL3,CSF1,IFNG,KLF6,PMAIP1	0.2	3.35	1.6600979075234e-18	7.40956934498763e-19
13440	PREVNAR (M9)	PREVNAR (M8)	15	5	20	130	214	CD274,EXO1,FGL2,GBP4,GBP5,GBP6,IFNG,IL18R1,IL3,IL9,OSM,SERPING1,SIX1,TNFSF4,ZBTB32	11.54	7.01	0.0471240471240471	0.00863191162818808
13441	DRYVAX (M48)	PREVNAR (M8)	2	18	21	130	158	IFNG,IL3	1.54	1.27	9.40069851326259e-10	2.77432304385203e-10
13443	BCG (W10)	PREVNAR (M8)	5	15	139	130	1065	FGL2,GBP4,GBP5,OSM,TNFSF4	3.85	0.47	3.81876635951199e-17	1.5997191909117502e-17
13444	PPD (W10)	PREVNAR (M8)	4	16	97	130	724	FGL2,GBP4,GBP5,OSM	3.08	0.55	2.40688184566539e-16	9.71485161917224e-17
13446	TC-83 (D2)	PREVNAR (M8)	4	16	70	130	490	CD274,GBP4,GBP5,SERPING1	3.08	0.82	2.25698174199185e-14	8.3191597284888e-15
13447	TC-83 (D7)	PREVNAR (M8)	1	19	49	130	273	SERPING1	0.77	0.37	4.3240677875624004e-16	1.7118990244813799e-16
13448	MVA85A (D1)	PREVNAR (M8)	1	19	8	130	52	GBP5	0.77	1.92	2.89565506956811e-6	6.98355504771354e-7
13449	MVA85A (D28)	PREVNAR (M8)	1	19	7	130	75	GBP4	0.77	1.33	9.00870466087857e-6	2.11799068279419e-6
13453	BNT (V2, D1)	PREVNAR (M8)	5	15	109	130	739	CD274,GBP4,GBP5,GBP6,SERPING1	3.85	0.68	1.03665801098333e-15	4.03199497045115e-16
13454	BNT (V3, D1)	PREVNAR (M8)	5	15	134	130	904	CD274,GBP4,GBP5,GBP6,SERPING1	3.85	0.55	6.30956220032929e-17	2.6153432506119602e-17
13455	BNT-I (D1)	PREVNAR (M8)	2	18	159	130	946	ITGA2,OSM	1.54	0.21	8.273281818240679e-23	4.421781084184e-23
13456	BNT-I (D10, mild)	PREVNAR (M8)	5	15	636	130	4349	CD274,GBP6,GNLY,ITGA2,SERPING1	3.85	0.11	1.32867045096541e-26	8.13939925746384e-27
13457	BNT-I (D10, severe)	PREVNAR (M8)	8	12	647	130	4499	AICDA,CD274,EXO1,GBP5,GBP6,GNLY,IL18R1,SERPING1	6.15	0.18	8.59640514988494e-21	4.24714886076539e-21
13458	BNT-I (D26, mild)	PREVNAR (M8)	1	19	357	130	2431	GNLY	0.77	0.04	4.324443397735369e-31	3.06437306928047e-31
13460	BNT-I (D3)	PREVNAR (M8)	3	17	107	130	679	GBP5,GBP6,IL18R1	2.31	0.44	2.13767110779978e-18	9.48408527023681e-19
13463	BNT-I-BNT (D51, severe)	PREVNAR (M8)	1	19	14	130	46	OSM	0.77	2.17	1.07760506498518e-8	2.9768375761522302e-9
13464	BNT-MO (V3, D1)	PREVNAR (M8)	7	13	188	130	1281	CD274,FGL2,GBP4,GBP5,GBP6,OSM,SERPING1	5.38	0.55	5.18913687740642e-16	2.04859300876197e-16
13465	ChAd (V1, D3)	PREVNAR (M8)	4	16	133	130	995	GBP4,GBP5,IL3,SERPING1	3.08	0.4	2.5327718143330197e-18	1.1181942286455899e-18
13467	ChAd (V1, D7)	PREVNAR (M8)	1	19	36	130	272	EXO1	0.77	0.37	4.7096946618524704e-14	1.7124577854943802e-14
13468	ChAd (V2, D1)	PREVNAR (M8)	6	14	138	130	866	CD274,FGL2,GBP4,GBP5,GBP6,SERPING1	4.62	0.69	1.0119730852706901e-15	3.93841387910016e-16
13471	ChAd-BNT (V2, D3)	PREVNAR (M8)	5	15	177	130	1209	CD274,FGL2,GBP4,GBP5,SERPING1	3.85	0.41	1.3406776849278799e-18	6.003008468497749e-19
13472	ChAd-BNT (V2, D7)	PREVNAR (M8)	3	17	114	130	798	EXO1,SERPING1,TNFSF4	2.31	0.38	8.07722492234922e-19	3.65296141215744e-19
13473	ChAd-BNT (V3, D1)	PREVNAR (M8)	8	12	236	130	1626	CD274,FGL2,GBP4,GBP5,GBP6,GNLY,H2BC7,SERPING1	6.15	0.49	9.89478281934563e-16	3.85443604610053e-16
13474	I (D10, moderate)	PREVNAR (M8)	6	14	478	130	3175	CD274,EXO1,GBP6,GNLY,IL18R1,SERPING1	4.62	0.19	7.04153464190531e-23	3.7762559713992897e-23
13475	I (D10, severe)	PREVNAR (M8)	3	17	532	130	3665	AICDA,GBP4,IL18R1	2.31	0.08	1.26791888116474e-29	8.630728838213039e-30
13476	I (D26, moderate)	PREVNAR (M8)	3	17	312	130	2016	EXO1,GBP4,IL18R1	2.31	0.15	8.5026114044106e-26	5.05403649476355e-26
13477	I (D26, severe)	PREVNAR (M8)	3	17	524	130	3289	EXO1,GNLY,IL18R1	2.31	0.09	1.63109908416006e-29	1.10492319220137e-29
13479	I (D51, severe)	PREVNAR (M8)	6	14	369	130	2435	AICDA,CD274,EXO1,GBP6,IFNG,IL18R1	4.62	0.25	2.35662052497985e-21	1.19138061149687e-21
13483	ZF2001 (V3, D07)	PREVNAR (M8)	1	19	229	130	1337	OSM	0.77	0.07	1.45969083612132e-27	9.2288886003788e-28
13484	ZF2001 (V3, D14)	PREVNAR (M8)	1	19	32	130	192	IFNG	0.77	0.52	2.61915928889666e-13	9.186998612866211e-14
13485	ZF2001 (V3, D28)	PREVNAR (M8)	1	19	16	130	179	IFNG	0.77	0.56	2.3262585529839e-9	6.67925773213777e-10
13486	DRYVAX (M48)	PREVNAR (M9)	3	32	20	214	158	CD14,IFNG,IL3	1.4	1.9	3.50667175513426e-12	1.1704413209643398e-12
13488	BCG (W10)	PREVNAR (M9)	8	27	136	214	1065	CSF2,FGL2,GBP4,GBP5,LIF,LTA,OSM,TNFSF4	3.74	0.75	1.14617252830349e-24	6.532809637834949e-25
13489	PPD (W10)	PREVNAR (M9)	6	29	95	214	724	CSF2,FGL2,GBP4,GBP5,LTA,OSM	2.8	0.83	2.0918571520448097e-23	1.14271917135766e-23
13490	TC-83 (D14)	PREVNAR (M9)	1	34	121	214	779	GZMA	0.47	0.13	1.3658068993482e-33	1.04917412572012e-33
13491	TC-83 (D2)	PREVNAR (M9)	4	31	70	214	490	CD274,GBP4,GBP5,SERPING1	1.87	0.82	1.31700312052501e-22	6.99152298745652e-23
13492	TC-83 (D7)	PREVNAR (M9)	1	34	49	214	273	SERPING1	0.47	0.37	9.482515223899979e-23	5.05522197882708e-23
13493	MVA85A (D1)	PREVNAR (M9)	1	34	8	214	52	GBP5	0.47	1.92	6.20653216408058e-8	1.63742602572224e-8
13494	MVA85A (D28)	PREVNAR (M9)	2	33	6	214	75	CXCL9,GBP4	0.93	2.67	6.22722060462754e-6	1.47698927072985e-6
13498	BNT (V2, D1)	PREVNAR (M9)	7	28	107	214	739	CD274,CXCL9,GBP4,GBP5,GBP6,LIF,SERPING1	3.27	0.95	1.9347578049782898e-23	1.0582754625773499e-23
13499	BNT (V3, D1)	PREVNAR (M9)	7	28	132	214	904	CD274,CXCL9,GBP4,GBP5,GBP6,LIF,SERPING1	3.27	0.77	1.31113369285051e-25	7.73156863317906e-26
13500	BNT-I (D1)	PREVNAR (M9)	3	32	158	214	946	CD14,IL13,OSM	1.4	0.32	1.90801496119638e-33	1.45946116196778e-33
13501	BNT-I (D10, mild)	PREVNAR (M9)	8	27	633	214	4349	MERTK,CCNB2,CD274,CTSW,GBP6,GZMA,GZMB,SERPING1	3.74	0.18	2.34977451798705e-41	2.2816470346890998e-41
13502	BNT-I (D10, severe)	PREVNAR (M9)	11	24	644	214	4499	MERTK,CCNB2,CD274,CTSW,EXO1,GBP5,GBP6,IL18R1,IL2RA,LTA,SERPING1	5.14	0.24	4.23454712157018e-36	3.5001274503048494e-36
13503	BNT-I (D26, mild)	PREVNAR (M9)	2	33	356	214	2431	MERTK,CCNB2	0.93	0.08	5.9537914622436804e-46	6.7594441222911406e-46
13504	BNT-I (D26, severe)	PREVNAR (M9)	1	34	78	214	516	CCNB2	0.47	0.19	4.14317515809184e-28	2.67038506631259e-28
13505	BNT-I (D3)	PREVNAR (M9)	4	31	106	214	679	GBP5,GBP6,IL13,IL18R1	1.87	0.59	3.60254944447569e-27	2.2406468978357998e-27
13508	BNT-I-BNT (D51, severe)	PREVNAR (M9)	1	34	14	214	46	OSM	0.47	2.17	2.2214031907473096e-11	7.1115225542342295e-12
13509	BNT-MO (V3, D1)	PREVNAR (M9)	9	26	186	214	1281	CD274,CXCL9,FGL2,GBP4,GBP5,GBP6,LIF,OSM,SERPING1	4.21	0.7	1.46226430898122e-26	8.94042314326426e-27
13510	ChAd (V1, D3)	PREVNAR (M9)	5	30	132	214	995	CXCL9,GBP4,GBP5,IL3,SERPING1	2.34	0.5	2.87079632466488e-28	1.8636356225075099e-28
13511	ChAd (V1, D6)	PREVNAR (M9)	1	34	84	214	350	CCNB2	0.47	0.29	5.221832598428599e-29	3.47388977473106e-29
13512	ChAd (V1, D7)	PREVNAR (M9)	2	33	35	214	272	CCNB2,EXO1	0.93	0.74	1.18731098483967e-17	5.08350395269694e-18
13513	ChAd (V2, D1)	PREVNAR (M9)	7	28	137	214	866	CD274,FGL2,GBP4,GBP5,GBP6,LIF,SERPING1	3.27	0.81	5.33103501536516e-26	3.19897057697631e-26
13516	ChAd-BNT (V2, D3)	PREVNAR (M9)	7	28	175	214	1209	CD274,CSF2,CXCL9,FGL2,GBP4,GBP5,SERPING1	3.27	0.58	1.28215604600416e-28	8.4012048226727e-29
13517	ChAd-BNT (V2, D7)	PREVNAR (M9)	6	29	111	214	798	CCNB2,CSF2,EXO1,IL5,SERPING1,TNFSF4	2.8	0.75	4.84894157225254e-25	2.7940399516064896e-25
13518	ChAd-BNT (V3, D1)	PREVNAR (M9)	10	25	234	214	1626	CD274,CTSW,CXCL9,FGL2,GBP4,GBP5,GBP6,H4C13,LIF,SERPING1	4.67	0.62	1.6233737794786e-27	1.02227796545901e-27
13519	I (D10, moderate)	PREVNAR (M9)	8	27	476	214	3175	MERTK,CCNB2,CD274,CTSW,EXO1,GBP6,IL18R1,SERPING1	3.74	0.25	3.84551389607969e-38	3.34516700940829e-38
13520	I (D10, severe)	PREVNAR (M9)	4	31	531	214	3665	MERTK,CCNB2,GBP4,IL18R1	1.87	0.11	4.57189297089032e-47	5.4045937878604605e-47
13521	I (D26, moderate)	PREVNAR (M9)	6	29	309	214	2016	MERTK,CCNB2,CTSW,EXO1,GBP4,IL18R1	2.8	0.3	1.33059555270367e-36	1.1070781733286499e-36
13522	I (D26, severe)	PREVNAR (M9)	6	29	521	214	3289	CD14,CCNB2,CTSW,EXO1,GZMB,IL18R1	2.8	0.18	7.454554912454639e-43	7.650701495267569e-43
13524	I (D51, severe)	PREVNAR (M9)	6	29	369	214	2435	CCNB2,CD274,EXO1,GBP6,IFNG,IL18R1	2.8	0.25	1.04454198099586e-38	9.2913985794548e-39
13528	ZF2001 (V3, D07)	PREVNAR (M9)	3	32	227	214	1337	IL13,OSM,USP17L2	1.4	0.22	5.10153967052597e-38	4.40435659952739e-38
13529	ZF2001 (V3, D14)	PREVNAR (M9)	1	34	32	214	192	IFNG	0.47	0.52	2.4601939325506797e-18	1.08843762999814e-18
13530	ZF2001 (V3, D28)	PREVNAR (M9)	1	34	16	214	179	IFNG	0.47	0.56	2.36949673679713e-12	7.95511279955508e-13
13531	DRYVAX (M9-M34)	DRYVAX (M48)	1	22	5	158	80	H4C5	0.63	1.25	6.10500610500611e-5	1.3624336818212e-5
13533	PPD (W10)	DRYVAX (M48)	1	22	100	158	724	THBS1	0.63	0.14	2.0062049484675697e-23	1.0968800181322499e-23
13542	BNT (V2, D1)	DRYVAX (M48)	1	22	113	158	739	PDCD1LG2	0.63	0.14	1.79708603936852e-24	1.01692804407038e-24
13543	BNT (V3, D1)	DRYVAX (M48)	2	21	137	158	904	PDCD1LG2,XCR1	1.27	0.22	2.63627156368308e-24	1.4844772592767301e-24
13544	BNT-I (D1)	DRYVAX (M48)	2	21	159	158	946	CD14,THBS1	1.27	0.21	1.4826039807443599e-25	8.70607305380248e-26
13545	BNT-I (D10, mild)	DRYVAX (M48)	4	19	637	158	4349	IL18,S100A8,S100A9,THBS1	2.53	0.09	3.75436488482365e-33	2.85961501649966e-33
13546	BNT-I (D10, severe)	DRYVAX (M48)	6	17	649	158	4499	IL18,PDCD1LG2,S100A8,S100A9,THBS1,CH25H	3.8	0.13	3.78883365200405e-29	2.5339338427453297e-29
13547	BNT-I (D26, mild)	DRYVAX (M48)	3	20	355	158	2431	IL18,S100A8,S100A9	1.9	0.12	2.0260818141241797e-30	1.4064797162801699e-30
13548	BNT-I (D26, severe)	DRYVAX (M48)	3	20	76	158	516	S100A8,S100A9,CH25H	1.9	0.58	4.13025873980412e-18	1.80577178777237e-18
13549	BNT-I (D3)	DRYVAX (M48)	2	21	108	158	679	S100A8,S100A9	1.27	0.29	2.42335827415966e-22	1.27414484101726e-22
13550	BNT-I (D4)	DRYVAX (M48)	1	22	21	158	77	EPHB3	0.63	1.3	2.1862089565727e-11	7.00062977229708e-12
13551	BNT-I-BNT (D51, mild)	DRYVAX (M48)	1	22	66	158	446	IL18	0.63	0.22	5.71149946042656e-20	2.7093382291806298e-20
13553	BNT-MO (V3, D1)	DRYVAX (M48)	3	20	192	158	1281	C4BPB,PDCD1LG2,XCR1	1.9	0.23	2.40729043584073e-25	1.40184972356306e-25
13554	ChAd (V1, D3)	DRYVAX (M48)	6	17	131	158	995	CXCL6,HAMP,PDCD1LG2,XCR1,IFNB1,IL3	3.8	0.6	5.82537517296582e-18	2.52587352899721e-18
13557	ChAd (V2, D1)	DRYVAX (M48)	1	22	143	158	866	PDCD1LG2	0.63	0.12	1.59363840698388e-26	9.70601841870947e-27
13560	ChAd-BNT (V2, D3)	DRYVAX (M48)	3	20	179	158	1209	HAMP,PDCD1LG2,IFNB1	1.9	0.25	8.90488876386063e-25	5.086989626194349e-25
13561	ChAd-BNT (V2, D7)	DRYVAX (M48)	2	21	115	158	798	CXCL6,TREML4	1.27	0.25	7.41789894352481e-23	3.9730261474628897e-23
13562	ChAd-BNT (V3, D1)	DRYVAX (M48)	2	21	242	158	1626	PDCD1LG2,H4C5	1.27	0.12	3.77305656712403e-29	2.52472095138854e-29
13563	I (D10, moderate)	DRYVAX (M48)	6	17	478	158	3175	IL18,PDCD1LG2,S100A8,S100A9,THBS1,CH25H	3.8	0.19	5.98589171195779e-27	3.7065447615473e-27
13564	I (D10, severe)	DRYVAX (M48)	7	16	528	158	3665	IL18,MPEG1,S100A8,S100A9,THBS1,TREML4,CH25H	4.43	0.19	8.85362396339716e-26	5.25525217050455e-26
13565	I (D26, moderate)	DRYVAX (M48)	5	18	310	158	2016	IL18,S100A8,S100A9,THBS1,CH25H	3.16	0.25	1.3565878195685798e-25	7.98467354327065e-26
13566	I (D26, severe)	DRYVAX (M48)	7	16	520	158	3289	CD14,IL18,MPEG1,S100A8,S100A9,CH25H,EPHB3	4.43	0.21	1.12245714575561e-25	6.634478273787099e-26
13568	I (D51, severe)	DRYVAX (M48)	6	17	369	158	2435	MPEG1,S100A8,S100A9,THBS1,CH25H,IFNG	3.8	0.25	4.18920907801847e-25	2.4205258358079696e-25
13572	ZF2001 (V3, D07)	DRYVAX (M48)	2	21	228	158	1337	C4BPB,EPHB3	1.27	0.15	1.23591034459166e-28	8.102393324163399e-29
13573	ZF2001 (V3, D14)	DRYVAX (M48)	1	22	32	158	192	IFNG	0.63	0.52	1.7680697925046502e-14	6.541898856843421e-15
13574	ZF2001 (V3, D28)	DRYVAX (M48)	1	22	16	158	179	IFNG	0.63	0.56	4.5079372987575103e-10	1.35285078819047e-10
13577	TC-83 (D14)	DRYVAX (M9-M34)	1	5	121	80	779	HERC5	1.25	0.13	2.36005117770979e-8	6.4045220261707e-9
13578	TC-83 (D2)	DRYVAX (M9-M34)	1	5	73	80	490	HERC5	1.25	0.2	2.66222784543904e-7	6.79750749181622e-8
13579	TC-83 (D7)	DRYVAX (M9-M34)	1	5	49	80	273	HERC5	1.25	0.37	1.72475200222148e-6	4.22098360997463e-7
13585	BNT (V2, D1)	DRYVAX (M9-M34)	1	5	113	80	739	HERC5	1.25	0.14	3.28520016831394e-8	8.84282385953889e-9
13586	BNT (V3, D1)	DRYVAX (M9-M34)	1	5	138	80	904	HERC5	1.25	0.11	1.24737913170637e-8	3.4345481131915105e-9
13588	BNT-I (D10, mild)	DRYVAX (M9-M34)	2	4	639	80	4349	CD160,HERC5	2.5	0.05	2.0994760163449403e-9	6.05567923267665e-10
13589	BNT-I (D10, severe)	DRYVAX (M9-M34)	2	4	653	80	4499	CD160,HERC5	2.5	0.04	1.92629139071817e-9	5.57143822079571e-10
13596	BNT-MO (V3, D1)	DRYVAX (M9-M34)	2	4	193	80	1281	HERC5,XCL1	2.5	0.16	2.36625713538923e-7	6.06143307671384e-8
13600	ChAd (V2, D1)	DRYVAX (M9-M34)	1	5	143	80	866	HERC5	1.25	0.12	1.04917110158431e-8	2.8995600427200904e-9
13602	ChAd (V2, D7)	DRYVAX (M9-M34)	1	5	0	80	41	XCL1	1.25	2.44	1	0.173737993497139
13603	ChAd-BNT (V2, D3)	DRYVAX (M9-M34)	1	5	181	80	1209	HERC5	1.25	0.08	3.3230532797062e-9	9.49375497637093e-10
13605	ChAd-BNT (V3, D1)	DRYVAX (M9-M34)	2	4	242	80	1626	H4C5,HERC5	2.5	0.12	9.75107900564737e-8	2.55386313545262e-8
13606	I (D10, moderate)	DRYVAX (M9-M34)	1	5	483	80	3175	HERC5	1.25	0.03	2.6284326072244e-11	8.40177772029642e-12
13609	I (D26, severe)	DRYVAX (M9-M34)	1	5	526	80	3289	CD160	1.25	0.03	1.7217134765734098e-11	5.55270351630048e-12
13618	PPD (W10)	BCG (W10)	94	50	7	1065	724	AIF1,ALCAM,ANXA1,APOE,C5AR1,CARD9,CCR1,CCR5,CD151,CD33,CD36,CD86,CD9,CEBPA,CSF1R,CTSD,CTSS,DCSTAMP,FCGRT,FGL2,FKBP1A,FPR3,G6PD,GPNMB,GREM1,GSN,HAVCR2,HCST,HMOX1,HSD3B7,IFI30,IGSF6,IL1R2,IL1RN,ITGAM,LGALS3,LRP1,LYZ,MITF,MNDA,MPP1,NLRC4,NRROS,PPARG,RGCC,SERPINE1,SIRPA,SLAMF8,SPHK1,THEMIS2,TNFRSF21,VIM,ZMIZ1,ADORA2A,BATF,CCL1,CCL20,CCL22,CCL3,CCL3L1,CCL4,CD93,CSF2,CSF3,CXCL1,CXCL2,CXCL3,CXCL8,CXCR5,EBI3,EDN1,GBP1,GBP2,GBP4,GBP5,IDO1,IL1A,IL1B,IL36G,IL6,LAMP3,LTA,MAP3K8,MMP14,NFKBIZ,OSM,PARP9,PTX3,RIPK2,SLC7A5,TNF,TNFAIP6,TRAF4,VPREB3	8.83	12.98	0.095990759693212	0.0172646195350389
13619	TC-83 (D14)	BCG (W10)	7	137	115	1065	779	LYZ,GBP1,IFI44L,IFIH1,ISG15,OAS3,TRIM22	0.66	0.9	7.382047790156601e-66	1.8659831986338e-65
